doc_id,req_i_idx,req_j_idx,req_i,req_j,cosine_sim,final_verdict,conflict_type,notes
2005 - clarus low,323,440,F-166 The Clarus  system shall be  able to base its quality checking process on values distributed in time.,Step Test  The Clarus  step test will flag all observati ons whose consecutive values in time  exceed predefined variable-spe cific step threshold values as “failed” (Fiebrich and  Crawford 2001).,0.554,,,
2005 - clarus low,160,175,MHI DOG   H  Q- 012G1 The watchdog service shall  monitor the overall Clarus   system state.,I-017 The Clarus  system shall  employ industry standards to minimize implementation impact to users and providers.,0.512,,,
2005 - clarus low,28,57,"Inferred from ConOps  §3.5.1.4 QChS,  CAS   H  F- 171B1 The CAS shall be able to  configure historical  environmental data to be used by quality checking processes.",F-111C4 The CAUI shall enable a quality  manager to apply manual flags to a set of observations over a time range with an open ended future time.,0.533,,,
2005 - clarus low,150,154,I-017D2 CS shall be able to extract  environmental data from comma separated value messages.,I-017D6 CS shall be able to extract  environmental data from netCDF version 3.6 messages.,0.6,,,
2005 - clarus low,194,419,Task Force     I-016 The Clarus  system shall  transfer data as efficiently as possible.,Inferred from ConOps  §2.5.7     L  X-821 Traffic management  personnel shall be able to use the Clarus  system to  obtain environmental conditions.,0.549,,,
2005 - clarus low,115,184,ConOps  §2.5.3 CS   H  F-261D1 CS shall accept environmental  data collected from service patrol vehicles.,H  F-401F1 EMS shall be able to provide  sensor equipment metadata in response to a request.,0.523,,,
2005 - clarus low,37,335,ID Requirement  Source Allocation  - CAS Comment Criticality F-811 The Clarus  system shall be  able to restrict environmental data publication based on source.,"H-020 The Clarus  system shall  acquire, process, and disseminate environmental data.",0.646,,,
2005 - clarus low,412,415,OCS     H  X-315 The Clarus  program shall  test all hardware changes in the designated test environment before deployment to production.,Contract     H  X-615 The Clarus  program shall  operate according to Government IT security requirements as outlined in  U.S.,0.572,,,
2005 - clarus low,198,423,I-023 The Clarus  system shall  respond to queries for environmental metadata from the available metadata.,Inferred from ConOps  §2.5.6     L  X-905 The Clarus  program shall  maintain information about data providers.,0.586,,,
2005 - clarus low,29,272,ID Requirement  Source Allocation  - CAS Comment Criticality F-175 The Clarus  system shall be  able to use multiple algorithms for its quality checking process.,I-027 The Clarus  system shall  enable environmental data queries by quality.,0.604,,,
2005 - clarus low,181,357,F-213 The Clarus  system shall allow  access to new surface transportation related observed environmental data.,D-021 The Clarus  system shall use  hardware that implements industry accepted standard interfaces.,0.615,,,
2005 - clarus low,168,208,"ID Requirement  Source Allocation  - EMC Comment Criticality H- 120E3 The EMC shall be able to  maintain contact info for each contributor, collector, and station sensor.",ID Requirement  Source Allocation  - QEDC Comment Criticality F-521I1 The QEDC shall maintain  observations and their associated quality flags for seven days.,0.63,,,
2005 - clarus low,203,256,ID Requirement  Source Allocation  - QEDC Comment Criticality F-111 The Clarus  system shall  provide environmental data quality flags.,ID Requirement  Source Allocation -  QEDS Comment Criticality  I-016J1 QEDS shall transfer data  concurrently.,0.601,,,
2005 - clarus low,30,326,M  F- 175B1 The CAS shall be able to  configure multiple algorithms to be used in the quality checking process.,H  F-171H1 QChS shall be able to use  historical environmental data in their quality checking algorithms.,0.555,,,
2005 - clarus low,240,311,F-501 The Clarus  system shall  minimize the time for data dissemination.,F-151 The Clarus  system shall  record the methods applied when deriving quality checking information.,0.556,,,
2005 - clarus low,51,84,"ID Requirement  Source Allocation -  CAUI Comment Criticality F-100 The Clarus  system shall collect,  quality check, and disseminate environmental data.",F-200 The Clarus  system shall be able to  detect data submission errors.,0.524,,,
2005 - clarus low,65,419,"H-120 The Clarus  system shall acquire,  process, and disseminate environmental metadata.",Inferred from ConOps  §2.5.7     L  X-821 Traffic management  personnel shall be able to use the Clarus  system to  obtain environmental conditions.,0.644,,,
2005 - clarus low,163,355,ID Requirement  Source Allocation  - EMC Comment Criticality F-213 The Clarus  system shall allow  access to new surface transportation related observed  environmental data.,D- 011A4 Clarus  hosts shall be able to  aggregate environmental data from other Clarus   hosts.,0.588,,,
2005 - clarus low,232,322,H  F-115J1 The observation quality  flags shall be used to determine data quality condition notifications.,H  F-165H1 QChS shall be able to flag  observations based on more than one observation type.,0.58,,,
2005 - clarus low,177,290,ID Requirement  Source Allocation  - EMS Comment Criticality D-062 The Clarus  system shall  disseminate environmental metadata in response to polling.,P-031 The Clarus  system shall be  able to handle three hundred simultaneous requests for environmental data.,0.64,,,
2005 - clarus low,215,303,P-013 The Clarus  system shall  support 470 million current observations.,F-121 The Clarus  system shall  detect out of range values.,0.515,,,
2005 - clarus low,196,383,I-017 The Clarus  system shall  employ industry standards to minimize implementation impact to users and providers.,X- 20126 The contributors shall  inform the Clarus  program  of known error(s) and modifications in its data and information.,0.577,,,
2005 - clarus low,398,426,ID Requirement  Source Allocation Comment Criticality X-207 The Clarus  program shall  provide an environment that has uninterruptible power for the Clarus  system.,OCS     H  X-921 The Clarus  program shall  maintain information about service providers.,0.538,,,
2005 - clarus low,126,348,"H-012 The Clarus  system data definitions  shall be consistent with the ITE TM 1.03 standard, Functional Level Traffic Management Data Dictionary (TMDD).",I-016 The Clarus  system shall  transfer data as efficiently as possible.,0.55,,,
2005 - clarus low,84,317,F-200 The Clarus  system shall be able to  detect data submission errors.,ID Requirement  Source Allocation -  QChS Comment Criticality  F-162 The Clarus  system shall be  able to implement quality checking spatial tests using available data.,0.529,,,
2005 - clarus low,68,365,ID Requirement  Source Allocation -  CAUI Comment Criticality I-031 The Clarus  system shall provide a  user interface for administration.,MHI     M  P-041 The Clarus  system shall be  able to support six hundred concurrent users.,0.528,,,
2005 - clarus low,201,426,Task Force     P-025 The Clarus  system shall  respond to a request for information within five minutes.,OCS     H  X-921 The Clarus  program shall  maintain information about service providers.,0.576,,,
2005 - clarus low,139,147,L  I-012D1 CS shall be able to process NTCIP  ESS 1204 data.,I-016D3 CS shall be able to accept  environmental data pushed from collectors.,0.518,,,
2005 - clarus low,177,294,ID Requirement  Source Allocation  - EMS Comment Criticality D-062 The Clarus  system shall  disseminate environmental metadata in response to polling.,F-101 The Clarus  system shall  implement quality checking processes as soon as data become available.,0.502,,,
2005 - clarus low,22,320,F- 155B2 The CAS shall enable  administrators to manage quality checking rules.,H  F-163H1 QChS shall be able to  implement different quality checking rules specific to regional weather.,0.546,,,
2005 - clarus low,244,309,F-811 The Clarus  system shall be  able to restrict  environmental data publication based on source.,F-141 The Clarus  system shall  allow human quality checks of observations.,0.58,,,
2005 - clarus low,201,414,Task Force     P-025 The Clarus  system shall  respond to a request for information within five minutes.,"ID Requirement  Source Allocation Comment Criticality X-605 The Clarus  program shall  operate according to Government IT security requirements as outlined in OMB Circular A-130, Management of Federal",0.541,,,
2005 - clarus low,233,315,F-115J2 QEDS shall provide quality  checking statistics to data contributors.,F-161 The Clarus  system shall be  able to implement quality checking rules for specific environmental situations.,0.506,,,
2005 - clarus low,181,427,F-213 The Clarus  system shall allow  access to new surface transportation related observed environmental data.,OCS     H  X-925 The Clarus  program shall  maintain information about service provider communications.,0.592,,,
2005 - clarus low,217,364,ID Requirement  Source Allocation -  QEDS Comment Criticality  D-051 The Clarus  system shall  disseminate data in  response to a scheduled  request.,H  P-011 The Clarus  system shall be  able to publish environmental data at three times the volume rate that it collects it.,0.53,,,
2005 - clarus low,183,422,ID Requirement  Source Allocation  - EMS Comment Criticality F-401 The Clarus  system shall be  able to provide sensor equipment metadata in response to a request.,Inferred from ConOps  §2.5.8     L  X-827 Emergency management and  public safety personnel shall be able to use the Clarus   system to obtain  environmental conditions.,0.618,,,
2005 - clarus low,355,400,D- 011A4 Clarus  hosts shall be able to  aggregate environmental data from other Clarus   hosts.,MHI     H  X-211 The Clarus  program shall  provide network management tools.,0.533,,,
2005 - clarus low,175,416,I-017 The Clarus  system shall  employ industry standards to minimize implementation impact to users and providers.,Contract     H  X-805 Weather service providers  shall be able to use Clarus   data to provide localized special weather products.,0.531,,,
2005 - clarus low,108,119,F-245 The Clarus  system shall accept  environmental data from railroad vehicles.,ConOps  §2.5.6 CS   H  F-275D1 CS shall accept environmental  data collected from emergency vehicles.,0.509,,,
2005 - clarus low,329,423,F-213 The Clarus  system shall  allow access to new  surface transportation related observed environmental data.,Inferred from ConOps  §2.5.6     L  X-905 The Clarus  program shall  maintain information about data providers.,0.548,,,
2005 - clarus low,223,248,D-081 The Clarus  system shall be  able to notify subscribers when data sets become available.,ID Requirement  Source Allocation -  QEDS Comment Criticality  H-011 The Clarus  system baseline  data types shall be defined by the NTCIP ESS 1204 standard.,0.509,,,
2005 - clarus low,211,396,I-021 The Clarus  system shall  allow service providers to select specific desired data sets.,Task Force     X- 20166 The Clarus  program shall  provide to requesters the limitation of liability for using environmental data and metadata.,0.522,,,
2005 - clarus low,18,288,F-151 The Clarus  system shall  record the methods applied when deriving quality checking information.,P-025 The Clarus  system shall  respond to a request for information within one minute.,0.555,,,
2005 - clarus low,7,25,"When this is done, the data will be  published to the Service Providers and  other participant/consumers in Clarus .",F-163 The Clarus  system shall be  able to implement quality checking rules specific to observation locations.,0.514,,,
2005 - clarus low,246,420,F-905 The Clarus  system shall log  data transactions.,Inferred from ConOps  §2.5.3     L  X-823 Transit personnel shall be  able to use the Clarus   system to obtain environmental conditions.,0.503,,,
2005 - clarus low,20,290,F-155 The Clarus  system shall be  able to implement quality checking rules for each environmental parameter.,P-031 The Clarus  system shall be  able to handle three hundred simultaneous requests for environmental data.,0.615,,,
2005 - clarus low,138,262,ID Requirement  Source Allocation -  CS Comment Criticality I-012 The Clarus  system shall be able to  communicate with environmental sensor stations through its collector using the NTCIP ESS 1204.,I-021 The Clarus  system shall  allow service providers to select specific desired datasets.,0.589,,,
2005 - clarus low,124,323,H-011 The Clarus  system baseline data  types shall be defined by the NTCIP ESS 1204 standard.,F-166 The Clarus  system shall be  able to base its quality checking process on values distributed in time.,0.578,,,
2005 - clarus low,182,412,L  F-213F1 The Clarus  system shall allow  new EMS to be implemented that disseminate new observation types to be implemented as they become available.,OCS     H  X-315 The Clarus  program shall  test all hardware changes in the designated test environment before deployment to production.,0.572,,,
2005 - clarus low,368,435,MHI     H  Q-013 The Clarus  system shall be  able to respond to 95% of all requests for environmental data 95% of the time.,The Clarus  climatological threshold  values will be station-specific and will be  based on either regional extremes or  individual station extremes (if they are available).,0.514,,,
2005 - clarus low,204,214,"OCS QChS,  CAUI, QEDC   H  F-111I1 The QEDC shall keep the  results of each quality test for each observation for the life of the observation.","MHI QEDS,  QEDC   H  I-022I1 The QEDC shall support  queries against all of its available observation datasets.",0.572,,,
2005 - clarus low,17,278,"ConOps §2.4 QChS, SS,  CAS   H  F- 101B1 The CAS shall be able to  configure schedules for executing QChS.",ConOps §4.5     H  I-033J1 QEDS shall be able to  accept a subscription  request.,0.537,,,
2005 - clarus low,3,108,"First, the participants will be able to share  collected environmental data  with Clarus .",F-245 The Clarus  system shall accept  environmental data from railroad vehicles.,0.546,,,
2005 - clarus low,385,395,ID Requirement  Source Allocation Comment Criticality X- 20128 The Clarus  program shall  report successes and failures in data and information transmission to its contributors.,X- 20165 The Clarus  program shall  provide to contributors the limitation of liability for contributing environmental data and metadata.,0.624,,,
2005 - clarus low,4,23,"Second, participants will be able to  receive environmental data  collected by Clarus .",ID Requirement  Source Allocation  - CAS Comment Criticality F-161 The Clarus  system shall be  able to implement quality checking rules for specific environmental situations.,0.505,,,
2005 - clarus low,309,419,F-141 The Clarus  system shall  allow human quality checks of observations.,Inferred from ConOps  §2.5.7     L  X-821 Traffic management  personnel shall be able to use the Clarus  system to  obtain environmental conditions.,0.571,,,
2005 - clarus low,3,8,"First, the participants will be able to share  collected environmental data  with Clarus .","2.2 System Functions   The Clarus  system will collect data from contributing members, organize and  quality check the data, and then publish the data for use by service providers and  other members o",0.583,,,
2005 - clarus low,164,174,L  F- 213E1 The EMC shall be configurable  to allow new observation types to be implemented as they become available.,H- 120E9 The EMC shall be able to  maintain a reference to additional metadata.,0.645,,,
2005 - clarus low,276,382,I-028J2 QEDS shall accept source  queries that are a list of Clarus  contributors  combined with a station identifier.,X- 20124 The Clarus  Initiative  Management Team shall agree upon the activities and products that will enhance public understanding/ communication of the contribution of the Clarus   program.,0.593,,,
2005 - clarus low,9,298,The Clarus   system should be a data collection system capable of handling a vast range of data  in a flexible manner that permits new data types to be added.,F-111 The Clarus  system shall  provide environmental data quality flags.,0.613,,,
2005 - clarus low,298,317,F-111 The Clarus  system shall  provide environmental data quality flags.,ID Requirement  Source Allocation -  QChS Comment Criticality  F-162 The Clarus  system shall be  able to implement quality checking spatial tests using available data.,0.62,,,
2005 - clarus low,149,205,H  I-017D1 CS shall be able to extract  environmental data from an XML message that conforms to the Clarus  standard XML message  specification.,F-213 The Clarus  system shall  allow access to new surface transportation related observed environmental data.,0.53,,,
2005 - clarus low,16,388,ID Requirement  Source Allocation  - CAS Comment Criticality F-101 The Clarus  system shall  implement quality checking processes as soon as data become available.,X- 20132 The Clarus  Initiative  Management Team shall review and amend data and information sharing and use policies.,0.523,,,
2005 - clarus low,257,416,I-017 The Clarus  system shall  employ industry standards to minimize implementation impact to users and providers.,Contract     H  X-805 Weather service providers  shall be able to use Clarus   data to provide localized special weather products.,0.531,,,
2005 - clarus low,84,399,F-200 The Clarus  system shall be able to  detect data submission errors.,MHI     H  X-209 The Clarus  program shall  provide an environment that has redundant communication for the  Clarus  system.,0.519,,,
2005 - clarus low,389,419,X- 20139 The contributors shall have  the right to use the Clarus   system data and information for purposes delineated within the Clarus  Data  Sharing Agreement.,Inferred from ConOps  §2.5.7     L  X-821 Traffic management  personnel shall be able to use the Clarus  system to  obtain environmental conditions.,0.58,,,
2005 - clarus low,272,346,I-027 The Clarus  system shall  enable environmental data queries by quality.,F-905 The Clarus  system shall log  data transactions.,0.552,,,
2005 - clarus low,399,403,MHI     H  X-209 The Clarus  program shall  provide an environment that has redundant communication for the  Clarus  system.,OCS     H  X-225 The Clarus  program shall  provide a trained support staff.,0.547,,,
2005 - clarus low,364,421,H  P-011 The Clarus  system shall be  able to publish environmental data at three times the volume rate that it collects it.,Inferred from ConOps  §2.5.5     L  X-825 The freight community shall  be able to use the Clarus   system to obtain environmental conditions.,0.527,,,
2005 - clarus low,255,272,I-016 The Clarus  system shall  transfer data as efficiently as possible.,I-027 The Clarus  system shall  enable environmental data queries by quality.,0.627,,,
2005 - clarus low,151,261,I-017D3 CS that process comma separated  value ASCII text shall be able to dynamically parse environmental data that includes a descriptive header row conforming to the Clarus  collector standard mess,I-017J4 QEDS shall be able to  disseminate environmental data in comma separated value ASCII format.,0.61,,,
2005 - clarus low,329,404,F-213 The Clarus  system shall  allow access to new  surface transportation related observed environmental data.,ConOps §3.3.1     H  X-232 The Clarus  program shall  define quality checking rules for environmental observations.,0.523,,,
2005 - clarus low,20,395,F-155 The Clarus  system shall be  able to implement quality checking rules for each environmental parameter.,X- 20165 The Clarus  program shall  provide to contributors the limitation of liability for contributing environmental data and metadata.,0.559,,,
2005 - clarus low,400,428,MHI     H  X-211 The Clarus  program shall  provide network management tools.,OCS     M  X-931 The Clarus  program shall  maintain information about service provider access to data.,0.595,,,
2005 - clarus low,28,328,"Inferred from ConOps  §3.5.1.4 QChS,  CAS   H  F- 171B1 The CAS shall be able to  configure historical  environmental data to be used by quality checking processes.",M  F-175H1 QChS shall be  implemented for each defined standard quality checking algorithm.,0.558,,,
2005 - clarus low,234,379,F-140 The Clarus  system shall  enable quality managers to review which quality checks passed or failed.,X- 20119 The Clarus  program shall  provide data and information statistics on its operation to contributors.,0.517,,,
2005 - clarus low,118,292,F-275 The Clarus  system shall accept  environmental data from emergency vehicles.,"ID Requirement  Source Allocation -  QChS Comment Criticality  F-100 The Clarus  system shall  collect, quality check, and disseminate environmental data.",0.587,,,
2005 - clarus low,246,384,F-905 The Clarus  system shall log  data transactions.,X- 20127 The Clarus  program shall  determine its redistribution of shared data from contributors based upon Clarus  Data Sharing  Agreements.,0.53,,,
2005 - clarus low,18,428,F-151 The Clarus  system shall  record the methods applied when deriving quality checking information.,OCS     M  X-931 The Clarus  program shall  maintain information about service provider access to data.,0.546,,,
2005 - clarus low,301,394,F-115 The Clarus  system shall  provide notification of data quality conditions to data contributors.,"X- 20152 Any reference in the Clarus   Data Sharing Agreement to statutes, regulations and rules shall be a reference to the amended, substituted, replaced or re-enacted statute, regulations and rules",0.595,,,
2005 - clarus low,368,386,MHI     H  Q-013 The Clarus  system shall be  able to respond to 95% of all requests for environmental data 95% of the time.,X- 20129 The contributors shall report  periods of data and information outages to the  Clarus  program.,0.572,,,
2005 - clarus low,219,363,D-061 The Clarus  system shall  disseminate environmental data in response to polling.,OCS     H  X-801 The Clarus  program shall  alert users to system modifications.,0.571,,,
2005 - clarus low,368,384,MHI     H  Q-013 The Clarus  system shall be  able to respond to 95% of all requests for environmental data 95% of the time.,X- 20127 The Clarus  program shall  determine its redistribution of shared data from contributors based upon Clarus  Data Sharing  Agreements.,0.554,,,
2005 - clarus low,237,341,L  F-213J1 QEDS shall be able to  disseminate new observation types as they become available.,"7) QChS,  QEDS   H  P-024H1 All QChS shall be  completed within twenty minutes of data being available for checking.",0.513,,,
2005 - clarus low,292,339,"ID Requirement  Source Allocation -  QChS Comment Criticality  F-100 The Clarus  system shall  collect, quality check, and disseminate environmental data.",ID Requirement  Source Allocation -  QChS Comment Criticality  P-023H1 A QChS shall be able to  complete an automated quality check within ten seconds of when data is available for checking.,0.7,,,
2005 - clarus low,184,199,H  F-401F1 EMS shall be able to provide  sensor equipment metadata in response to a request.,MHI     H  I-023F1 EMS responses shall include  metadata that meets the requested metadata query filtering specifications.,0.676,,,
2005 - clarus low,171,174,H- 120E6 The EMC shall be able to  maintain an equipment list for each station.,H- 120E9 The EMC shall be able to  maintain a reference to additional metadata.,0.672,,,
2005 - clarus low,310,328,ID Requirement  Source Allocation -  QChS Comment Criticality  F-141H1 QChS shall implement a  manual override to set quality flags.,M  F-175H1 QChS shall be  implemented for each defined standard quality checking algorithm.,0.664,,,
2005 - clarus low,114,179,F-261 The Clarus  system shall accept  environmental data from service patrol vehicles.,D-091 The Clarus  system shall  disseminate data using standard Internet protocols.,0.653,,,
2005 - clarus low,9,290,The Clarus   system should be a data collection system capable of handling a vast range of data  in a flexible manner that permits new data types to be added.,P-031 The Clarus  system shall be  able to handle three hundred simultaneous requests for environmental data.,0.674,,,
2005 - clarus low,73,194,I-032 The Clarus  system shall manage  environmental data and metadata according to the Clarus  data  sharing agreements.,Task Force     I-016 The Clarus  system shall  transfer data as efficiently as possible.,0.667,,,
2005 - clarus low,410,421,Inferred from ConOps  §4.3     M  X-305 The Clarus  program shall  maintain a comprehensive Clarus  system test  environment.,Inferred from ConOps  §2.5.5     L  X-825 The freight community shall  be able to use the Clarus   system to obtain environmental conditions.,0.745,,,
2005 - clarus low,92,101,F-213 The Clarus  system shall allow  access to new surface transportation-related observed environmental data.,F-223 The Clarus  system shall process  data as they are received.,0.681,,,
2005 - clarus low,22,30,F- 155B2 The CAS shall enable  administrators to manage quality checking rules.,M  F- 175B1 The CAS shall be able to  configure multiple algorithms to be used in the quality checking process.,0.686,,,
2005 - clarus low,213,315,I-022 The Clarus  system shall  respond to queries for environmental data from the  available data.,F-161 The Clarus  system shall be  able to implement quality checking rules for specific environmental situations.,0.691,,,
2005 - clarus low,3,31,"First, the participants will be able to share  collected environmental data  with Clarus .",F-213 The Clarus  system shall  allow access to new surface transportation-related environmental data.,0.663,,,
2005 - clarus low,92,99,F-213 The Clarus  system shall allow  access to new surface transportation-related observed environmental data.,F-222 The Clarus system shall minimize  the time for data acquisition.,0.715,,,
2005 - clarus low,3,134,"First, the participants will be able to share  collected environmental data  with Clarus .","H-301 The Clarus  system shall be able to  acquire, process, and disseminate  environmental data from across  North America.",0.665,,,
2005 - clarus low,98,110,"Task Force  review CS Changed from ""The Clarus  system shall  be able to retrieve environmental data directly from environmental sensor stations."" L  F-221D1 CS shall be able to retrieve  environmenta",F-251 The Clarus  system shall accept  environmental data from (roadway) vehicles.,0.746,,,
2005 - clarus low,58,344,F-141 The Clarus  system shall allow  human quality checks of environmental data.,F-101 The Clarus  system shall  implement quality checking processes as soon as data become available.,0.717,,,
2005 - clarus low,23,58,ID Requirement  Source Allocation  - CAS Comment Criticality F-161 The Clarus  system shall be  able to implement quality checking rules for specific environmental situations.,F-141 The Clarus  system shall allow  human quality checks of environmental data.,0.659,,,
2005 - clarus low,23,311,ID Requirement  Source Allocation  - CAS Comment Criticality F-161 The Clarus  system shall be  able to implement quality checking rules for specific environmental situations.,F-151 The Clarus  system shall  record the methods applied when deriving quality checking information.,0.656,,,
2005 - clarus low,73,298,I-032 The Clarus  system shall manage  environmental data and metadata according to the Clarus  data  sharing agreements.,F-111 The Clarus  system shall  provide environmental data quality flags.,0.721,,,
2005 - clarus low,255,290,I-016 The Clarus  system shall  transfer data as efficiently as possible.,P-031 The Clarus  system shall be  able to handle three hundred simultaneous requests for environmental data.,0.675,,,
2005 - clarus low,213,288,I-022 The Clarus  system shall  respond to queries for environmental data from the  available data.,P-025 The Clarus  system shall  respond to a request for information within one minute.,0.716,,,
2005 - clarus low,311,325,F-151 The Clarus  system shall  record the methods applied when deriving quality checking information.,ID Requirement  Source Allocation -  QChS Comment Criticality  F-171 The Clarus  system shall be  able to base its quality checking process on historical environmental data.,0.691,,,
2005 - clarus low,163,342,ID Requirement  Source Allocation  - EMC Comment Criticality F-213 The Clarus  system shall allow  access to new surface transportation related observed  environmental data.,ID Requirement  Source Allocation  - SS Comment Criticality D-051 The Clarus  system shall  disseminate data in response to a scheduled request.,0.742,,,
2005 - clarus low,37,138,ID Requirement  Source Allocation  - CAS Comment Criticality F-811 The Clarus  system shall be  able to restrict environmental data publication based on source.,ID Requirement  Source Allocation -  CS Comment Criticality I-012 The Clarus  system shall be able to  communicate with environmental sensor stations through its collector using the NTCIP ESS 1204.,0.699,,,
2005 - clarus low,90,101,F-211 The Clarus  system shall be able to  receive roadway weather measurements derived from VII data.,F-223 The Clarus  system shall process  data as they are received.,0.682,,,
2005 - clarus low,118,309,F-275 The Clarus  system shall accept  environmental data from emergency vehicles.,F-141 The Clarus  system shall  allow human quality checks of observations.,0.689,,,
2005 - clarus low,98,138,"Task Force  review CS Changed from ""The Clarus  system shall  be able to retrieve environmental data directly from environmental sensor stations."" L  F-221D1 CS shall be able to retrieve  environmenta",ID Requirement  Source Allocation -  CS Comment Criticality I-012 The Clarus  system shall be able to  communicate with environmental sensor stations through its collector using the NTCIP ESS 1204.,0.696,,,
2005 - clarus low,16,163,ID Requirement  Source Allocation  - CAS Comment Criticality F-101 The Clarus  system shall  implement quality checking processes as soon as data become available.,ID Requirement  Source Allocation  - EMC Comment Criticality F-213 The Clarus  system shall allow  access to new surface transportation related observed  environmental data.,0.69,,,
2005 - clarus low,203,424,ID Requirement  Source Allocation  - QEDC Comment Criticality F-111 The Clarus  system shall  provide environmental data quality flags.,ID Requirement  Source Allocation Comment Criticality X-910 The Clarus  program shall  maintain metadata about each data provider's network.,0.718,,,
2005 - clarus low,198,244,I-023 The Clarus  system shall  respond to queries for environmental metadata from the available metadata.,F-811 The Clarus  system shall be  able to restrict  environmental data publication based on source.,0.712,,,
2005 - clarus low,53,234,F-111 The Clarus  system shall provide  environmental data quality flags.,F-140 The Clarus  system shall  enable quality managers to review which quality checks passed or failed.,0.691,,,
2005 - clarus low,92,348,F-213 The Clarus  system shall allow  access to new surface transportation-related observed environmental data.,I-016 The Clarus  system shall  transfer data as efficiently as possible.,0.678,,,
2005 - clarus low,198,355,I-023 The Clarus  system shall  respond to queries for environmental metadata from the available metadata.,D- 011A4 Clarus  hosts shall be able to  aggregate environmental data from other Clarus   hosts.,0.72,,,
2005 - clarus low,234,338,F-140 The Clarus  system shall  enable quality managers to review which quality checks passed or failed.,P-023 The Clarus  system shall be  able to complete an automated quality checking check of environmental data within ten seconds of data receipt.,0.676,,,
2005 - clarus low,262,428,I-021 The Clarus  system shall  allow service providers to select specific desired datasets.,OCS     M  X-931 The Clarus  program shall  maintain information about service provider access to data.,0.693,,,
2005 - clarus low,302,330,H  F-115H1 A QChS shall evaluate data  quality conditions.,L  F-213H1 QChS shall be  implemented to quality check new observation types as they become available.,0.756,,,
2005 - clarus low,221,288,D-071 The Clarus  system shall  disseminate data in response to a change notification request.,P-025 The Clarus  system shall  respond to a request for information within one minute.,0.758,,,
2005 - clarus low,31,163,F-213 The Clarus  system shall  allow access to new surface transportation-related environmental data.,ID Requirement  Source Allocation  - EMC Comment Criticality F-213 The Clarus  system shall allow  access to new surface transportation related observed  environmental data.,0.781,,,
2005 - clarus low,54,56,"OCS QChS,  CAUI, QEDC   H  F-111C1 The CAUI shall enable a quality  manager to apply manual flags to a set of observations from an individual ESS.",F-111C3 The CAUI shall enable a quality  manager to apply manual flags to a set of observations over a fixed time range.,0.76,,,
2005 - clarus low,110,120,F-251 The Clarus  system shall accept  environmental data from (roadway) vehicles.,F-281 The Clarus  system shall be able to  receive weather data from weather service providers.,0.771,,,
2005 - clarus low,381,414,"ID Requirement  Source Allocation Comment Criticality X- 20121 The Clarus  program shall  inform contributors of the ""acceptance and use"" of their data and information.","ID Requirement  Source Allocation Comment Criticality X-605 The Clarus  program shall  operate according to Government IT security requirements as outlined in OMB Circular A-130, Management of Federal",0.775,,,
2005 - clarus low,213,219,I-022 The Clarus  system shall  respond to queries for environmental data from the  available data.,D-061 The Clarus  system shall  disseminate environmental data in response to polling.,0.792,,,
2005 - clarus low,77,130,"ID Requirement  Source Allocation -  CS Comment Criticality F-100 The Clarus  system shall collect,  quality check, and disseminate environmental data.","ID Requirement  Source Allocation -  CS Comment Criticality H-151 The Clarus  system shall accept  only observations that include location, timestamp, and source metadata.",0.805,,,
2005 - clarus low,231,374,ID Requirement  Source Allocation -  QEDS Comment Criticality  F-115 The Clarus  system shall  provide notification of data quality conditions to data contributors.,ID Requirement  Source Allocation Comment Criticality X- 20113 The contributors shall  identify and define the types of data and information that will be included in the Clarus Data Sharing  Agreement,0.851,,,
2005 - clarus low,16,317,ID Requirement  Source Allocation  - CAS Comment Criticality F-101 The Clarus  system shall  implement quality checking processes as soon as data become available.,ID Requirement  Source Allocation -  QChS Comment Criticality  F-162 The Clarus  system shall be  able to implement quality checking spatial tests using available data.,0.832,,,
2005 - clarus low,419,420,Inferred from ConOps  §2.5.7     L  X-821 Traffic management  personnel shall be able to use the Clarus  system to  obtain environmental conditions.,Inferred from ConOps  §2.5.3     L  X-823 Transit personnel shall be  able to use the Clarus   system to obtain environmental conditions.,0.947,,,
2005 - microcare,48,60,− The VSP will send the collected claim forms  monthly and send it to MSIU  field office.,VSP Name (as the report header and below as the details part of report)    Claim No  Date  Date of System Entry  Amount  Status  Remarks    Cumulative Total Amount will show in R eport footer for the ,0.602,,,
2005 - microcare,20,49,• The will be a provision to create a minimum quantity of vouchers at one time  (such minimum numbers will be decided by the management team).,Voucher Service Provider (VSP) Master Information      The VSP master will have the following information:     o VSP Code  o Providers Name  Copyri ght © 2005 by M icrocare Lt d  Software  Requirement,0.506,,,
2005 - microcare,31,54,New (adding new records)  Edit (updating available records)  Delete  (deleting will be allowed only if no child records are created)  Copyri ght © 2005 by M icrocare Lt d  Software  Requirement Specif,Copyri ght © 2005 by M icrocare Lt d  Software  Requirement Specification for VMUS (Voucher Management Unit System)                              Page 18 of 33  The system will populate Active VSP onl ,0.692,,,
2005 - microcare,37,67,Distribution Transactions (Sal es from MSIU to Distributor)      Copyri ght © 2005 by M icrocare Lt d  Software  Requirement Specification for VMUS (Voucher Management Unit System)                    ,Date of submission should be current date  Copyri ght © 2005 by M icrocare Lt d  Software  Requirement Specification for VMUS (Voucher Management Unit System)                              Page 21 of 3,0.756,,,
