doc_id,req_i_idx,req_j_idx,req_i,req_j,cosine_sim,final_verdict,conflict_type,notes
2005 - clarus low,410,429,Inferred from ConOps  §4.3     M  X-305 The Clarus  program shall  maintain a comprehensive Clarus  system test  environment.,OCS     H  X-935 The Clarus  program shall  allow potential weather element data providers to request permission to submit weather information.,0.504,NO,NONE,Confidence: 1.00 | Requirement A focuses on the internal infrastructure for quality assurance and testing of the Clarus
2005 - clarus low,328,347,M  F-175H1 QChS shall be  implemented for each defined standard quality checking algorithm.,"MHI CS, QEDS,  EMS, QChS, CAS, SS, DOG   H  F- 905K1 The SS shall record when it  initiates actions.",0.513,NO,NONE,Confidence: 1.00 | Requirement A mandates the implementation of 'QChS' for standard quality checking algorithms. Requir
2005 - clarus low,211,313,I-021 The Clarus  system shall  allow service providers to select specific desired data sets.,F-155 The Clarus  system shall be  able to implement quality checking rules for each environmental parameter.,0.547,NO,NONE,Confidence: 1.00 | Requirement A describes the functionality for service providers to select specific data sets (user i
2005 - clarus low,364,399,H  P-011 The Clarus  system shall be  able to publish environmental data at three times the volume rate that it collects it.,MHI     H  X-209 The Clarus  program shall  provide an environment that has redundant communication for the  Clarus  system.,0.533,NO,NONE,Confidence: 1.00 | Requirement A specifies a performance characteristic related to data publication volume rate. Requir
2005 - clarus low,213,357,I-022 The Clarus  system shall  respond to queries for environmental data from the  available data.,D-021 The Clarus  system shall use  hardware that implements industry accepted standard interfaces.,0.583,NO,NONE,Confidence: 1.00 | Requirement A describes the functional capability of the Clarus system to respond to data queries. R
2005 - clarus low,16,407,ID Requirement  Source Allocation  - CAS Comment Criticality F-101 The Clarus  system shall  implement quality checking processes as soon as data become available.,"OCS   That is, the Clarus  program needs to  provide documentation of whatever standards it creates for its own development, deployment, management, and operations.",0.541,NO,NONE,Confidence: 1.00 | Requirement A mandates that the Clarus system implement quality checking processes for data. Require
2005 - clarus low,63,226,F-806 The Clarus  system shall enable  administrators to manage security groups.,D-091 The Clarus  system shall  disseminate data using standard Internet protocols.,0.513,NO,NONE,"Confidence: 1.00 | Requirement A describes the functionality for administrators to manage security groups, which pertai"
2005 - clarus low,65,78,"H-120 The Clarus  system shall acquire,  process, and disseminate environmental metadata.",H  F-100D1 CS shall collect environmental  data based on its configured schedule.,0.563,YES,OVERLAP,Confidence: 0.90 | Both requirements describe the system's responsibility for obtaining environmental information. Requ
2005 - clarus low,149,269,H  I-017D1 CS shall be able to extract  environmental data from an XML message that conforms to the Clarus  standard XML message  specification.,I-026 The Clarus  system shall  enable environmental data queries by location reference.,0.61,NO,NONE,Confidence: 0.95 | Requirement A describes the capability of a specific system component (H I-017D1 CS) to extract envi
2005 - clarus low,264,356,I-022 The Clarus  system shall  respond to queries for environmental data from the available data.,D- 011A5 Clarus  hosts shall be able to  distribute queries to other Clarus  hosts.,0.588,NO,NONE,Confidence: 1.00 | Requirement A states that the Clarus system shall respond to queries for environmental data from ava
2005 - clarus low,41,262,F-905 The Clarus  system shall log  data transactions.,I-021 The Clarus  system shall  allow service providers to select specific desired datasets.,0.567,NO,NONE,"Confidence: 1.00 | Requirement A specifies that the system shall log data transactions, which is an internal or backgro"
2005 - clarus low,230,260,F-100J2 QEDS shall be able to  disseminate environmental data in English units.,I-017J3 QEDS shall be able to  disseminate environmental data in CMML version 2 format.,0.597,NO,NONE,"Confidence: 1.00 | Requirement A specifies the measurement units for environmental data (English units), while Requirem"
2005 - clarus low,102,212,"ConOps  §3.4.3 CS, QChS   H  F-223D1 CS shall process environmental  data as they are received.","ConOps §3.5.1.4 QEDS,  QEDC   H  I-021I1 The QEDC shall support  queries for its observations.",0.618,NO,NONE,"Confidence: 1.00 | Requirement A specifies that the F-223D1 CS shall process environmental data as it is received, indi"
2005 - clarus low,401,427,H  X-215 The Clarus  program shall  provide setup support.,OCS     H  X-925 The Clarus  program shall  maintain information about service provider communications.,0.58,NO,NONE,"Confidence: 1.00 | Requirement A specifies that the Clarus program shall provide 'setup support', which relates to init"
2005 - clarus low,98,369,"Task Force  review CS Changed from ""The Clarus  system shall  be able to retrieve environmental data directly from environmental sensor stations."" L  F-221D1 CS shall be able to retrieve  environmenta",MHI     H  X-201 The Clarus  program shall  establish data sharing agreements with all participating sources of environmental data.,0.579,NO,NONE,Confidence: 1.00 | Requirement A specifies the Clarus system's technical capability to retrieve environmental data dire
2005 - clarus low,348,412,I-016 The Clarus  system shall  transfer data as efficiently as possible.,OCS     H  X-315 The Clarus  program shall  test all hardware changes in the designated test environment before deployment to production.,0.501,NO,NONE,Confidence: 1.00 | Requirement A specifies a performance characteristic for data transfer (efficiency). Requirement B s
2005 - clarus low,2,298,"Surface transportation  environmental data collected by the Clarus  system will include atmospheric data,  pavement data 1, and hydrologic (water level) data.",F-111 The Clarus  system shall  provide environmental data quality flags.,0.593,NO,NONE,"Confidence: 1.00 | Requirement A specifies the types of environmental data collected by the Clarus system (atmospheric,"
2005 - clarus low,226,413,D-091 The Clarus  system shall  disseminate data using standard Internet protocols.,OCS     H  X-601 The Clarus  program shall  operate the Clarus  system  according to its published IT  Security Plan.,0.636,NO,NONE,Confidence: 0.95 | Requirement A specifies that the Clarus system shall use standard Internet protocols for data dissem
2005 - clarus low,24,334,H  F- 161B1 The CAS shall be able to  configure quality checking  rules for specific environmental situations.,"MHI CS, QEDS,  EMS, QChS, CAS, SS, DOG   H  F-905H1 QChS shall log quality  checking activity.",0.52,NO,NONE,Confidence: 0.95 | Requirement A specifies that the CAS (Configuration Administration System) shall configure quality c
2005 - clarus low,49,353,Task Force     I-032 The Clarus  system shall  manage environmental data and metadata according to the Clarus  data sharing  agreements.,D- 011A2 The Clarus  system shall  allocate each collector to a specific host.,0.511,NO,NONE,Confidence: 1.00 | Requirement A specifies that the Clarus system shall manage environmental data and metadata. Require
2005 - clarus low,117,155,H  F-271D1 CS shall accept environmental  data collected from transit vehicles.,ID Requirement  Source Allocation -  DOG Comment Criticality F-213 The Clarus  system shall allow  access to new surface transportation related observed  environmental data.,0.519,NO,NONE,Confidence: 0.95 | Requirement A specifies that the 'H F-271D1 CS' system shall *accept* environmental data from transi
2005 - clarus low,419,429,Inferred from ConOps  §2.5.7     L  X-821 Traffic management  personnel shall be able to use the Clarus  system to  obtain environmental conditions.,OCS     H  X-935 The Clarus  program shall  allow potential weather element data providers to request permission to submit weather information.,0.62,NO,NONE,Confidence: 0.95 | Requirement A describes the functionality for traffic management personnel to *obtain* environmental
2005 - clarus low,192,263,ID Requirement  Source Allocation  - EMS Comment Criticality H- 120F3 The EMS shall accept location  queries based on a bounding latitude/longitude coordinate pair.,ID Requirement  Source Allocation -  QEDS Comment Criticality  I-021J1 QEDS shall respond to  environmental data queries selecting specific desired datasets.,0.613,NO,NONE,Confidence: 1.00 | Requirement A specifies functionality for the 'EMS' system to accept 'location queries' based on a '
2005 - clarus low,211,413,I-021 The Clarus  system shall  allow service providers to select specific desired data sets.,OCS     H  X-601 The Clarus  program shall  operate the Clarus  system  according to its published IT  Security Plan.,0.585,NO,NONE,Confidence: 1.00 | Requirement A describes a specific functional capability for the Clarus system: allowing service pro
2005 - clarus low,201,379,Task Force     P-025 The Clarus  system shall  respond to a request for information within five minutes.,X- 20119 The Clarus  program shall  provide data and information statistics on its operation to contributors.,0.622,NO,NONE,Confidence: 1.00 | Requirement A specifies a performance constraint: the system's response time for information request
2005 - clarus low,2,416,"Surface transportation  environmental data collected by the Clarus  system will include atmospheric data,  pavement data 1, and hydrologic (water level) data.",Contract     H  X-805 Weather service providers  shall be able to use Clarus   data to provide localized special weather products.,0.648,NO,NONE,"Confidence: 1.00 | Requirement A defines the types of environmental data (atmospheric, pavement, hydrologic) that the C"
2005 - clarus low,3,5,"First, the participants will be able to share  collected environmental data  with Clarus .","The Clarus  system will add a third mode of functionality, which might be called  “meta-librarian.” The Clarus  system will collect, organize, and quality check the  environmental data to be published",0.607,NO,NONE,Confidence: 1.00 | Requirement A describes an external action where participants share environmental data with Clarus. 
2005 - clarus low,96,127,H  F-214D2 CS shall accept atmospheric  condition data derived from atmospheric images.,"Task Force  review CS, QEDS   H  H- 012D1 CS shall accept environmental  data described by definitions defined by the TMDD.",0.531,NO,NONE,Confidence: 0.95 | The requirements refer to distinct systems or components (H F-214D2 CS and H H- 012D1 CS). Requireme
2005 - clarus low,294,405,F-101 The Clarus  system shall  implement quality checking processes as soon as data become available.,H  X-233 The Clarus  program shall  define data retention standards.,0.61,NO,NONE,Confidence: 1.00 | Requirement A focuses on the immediate processing of data to ensure its quality upon availability. R
2005 - clarus low,16,41,ID Requirement  Source Allocation  - CAS Comment Criticality F-101 The Clarus  system shall  implement quality checking processes as soon as data become available.,F-905 The Clarus  system shall log  data transactions.,0.521,NO,NONE,Confidence: 1.00 | Requirement A specifies that the system must perform quality checks on data as soon as it's availabl
2005 - clarus low,140,355,I-013 The Clarus  system shall be able to  communicate with RWIS databases through their native interfaces.,D- 011A4 Clarus  hosts shall be able to  aggregate environmental data from other Clarus   hosts.,0.52,NO,NONE,Confidence: 1.00 | Requirement A specifies the Clarus system's ability to communicate with external RWIS databases. Req
2005 - clarus low,160,294,MHI DOG   H  Q- 012G1 The watchdog service shall  monitor the overall Clarus   system state.,F-101 The Clarus  system shall  implement quality checking processes as soon as data become available.,0.534,NO,NONE,"Confidence: 1.00 | Requirement A describes the monitoring of the overall system state by a watchdog service, focusing o"
2005 - clarus low,272,348,I-027 The Clarus  system shall  enable environmental data queries by quality.,I-016 The Clarus  system shall  transfer data as efficiently as possible.,0.627,NO,NONE,Confidence: 0.95 | Requirement A specifies a functional capability: querying environmental data based on its quality. R
2005 - clarus low,248,420,ID Requirement  Source Allocation -  QEDS Comment Criticality  H-011 The Clarus  system baseline  data types shall be defined by the NTCIP ESS 1204 standard.,Inferred from ConOps  §2.5.3     L  X-823 Transit personnel shall be  able to use the Clarus   system to obtain environmental conditions.,0.535,NO,NONE,Confidence: 1.00 | Requirement A specifies a technical standard (NTCIP ESS 1204) for defining data types within the Cla
2005 - clarus low,212,291,"ConOps §3.5.1.4 QEDS,  QEDC   H  I-021I1 The QEDC shall support  queries for its observations.",H  P-031J1 QEDS shall be able to  respond to three hundred simultaneous queries.,0.545,NO,NONE,Confidence: 1.00 | Requirement A states that 'QEDC shall support queries for its observations'. Requirement B states th
2005 - clarus low,213,276,I-022 The Clarus  system shall  respond to queries for environmental data from the  available data.,I-028J2 QEDS shall accept source  queries that are a list of Clarus  contributors  combined with a station identifier.,0.649,NO,NONE,Confidence: 1.00 | Requirement A specifies that the Clarus system shall respond to environmental data queries. Requirem
2005 - clarus low,31,432,F-213 The Clarus  system shall  allow access to new surface transportation-related environmental data.,Sensor Range Test  The Clarus  range test will flag any observation that lies outside of the pre- determined range threshold values as “f ailed”.,0.502,NO,NONE,Confidence: 1.00 | Requirement A describes the functionality of allowing access to new environmental data. Requirement 
2005 - clarus low,175,423,I-017 The Clarus  system shall  employ industry standards to minimize implementation impact to users and providers.,Inferred from ConOps  §2.5.6     L  X-905 The Clarus  program shall  maintain information about data providers.,0.579,NO,NONE,Confidence: 1.00 | Requirement A mandates the use of industry standards to minimize implementation impact. Requirement 
2005 - clarus low,109,409,ConOps  §2.5.7 CS   H  F-245D1 CS shall accept environmental  data derived from railroad vehicle data.,Inferred from ConOps §1     M  X-239 The Clarus  program  standards shall support multiple methods of data  delivery to users.,0.572,NO,NONE,Confidence: 1.00 | Requirement A specifies that the CS system shall accept environmental data derived from railroad veh
2005 - clarus low,65,404,"H-120 The Clarus  system shall acquire,  process, and disseminate environmental metadata.",ConOps §3.3.1     H  X-232 The Clarus  program shall  define quality checking rules for environmental observations.,0.58,NO,NONE,"Confidence: 0.90 | Requirement A specifies that the 'Clarus system' shall acquire, process, and disseminate environment"
2005 - clarus low,206,229,L  F-213I1 The QEDC shall be  configurable to allow new  observation types to be  implemented as they become available.,H  F-100J1 QEDS shall disseminate  environmental data.,0.502,NO,NONE,Confidence: 1.00 | Requirement A states that the 'QEDC' system shall be configurable for new observation types. Require
2005 - clarus low,68,402,ID Requirement  Source Allocation -  CAUI Comment Criticality I-031 The Clarus  system shall provide a  user interface for administration.,9)     H  X-221 The Clarus  program shall  provide for customer service.,0.52,NO,NONE,"Confidence: 1.00 | Requirement A specifies providing a user interface for system administration, which caters to operat"
2005 - clarus low,26,321,H  F- 163B1 The CAS shall be able to  configure quality checking rules specific to observation locations.,F-165 The Clarus  system shall be  able to base its quality  checking process on values from multiple observations.ConOps §3.5.1.4   Example – variable-specific and like  instrument tests.,0.573,NO,NONE,"Confidence: 1.00 | Requirement A focuses on the configurability of quality checking rules, specifically allowing them t"
2005 - clarus low,323,440,F-166 The Clarus  system shall be  able to base its quality checking process on values distributed in time.,Step Test  The Clarus  step test will flag all observati ons whose consecutive values in time  exceed predefined variable-spe cific step threshold values as “failed” (Fiebrich and  Crawford 2001).,0.554,NO,NONE,Confidence: 1.00 | Requirement A states a general capability: the system must be able to perform quality checks based o
2005 - clarus low,160,175,MHI DOG   H  Q- 012G1 The watchdog service shall  monitor the overall Clarus   system state.,I-017 The Clarus  system shall  employ industry standards to minimize implementation impact to users and providers.,0.512,NO,NONE,Confidence: 1.00 | Requirement A specifies a functional component (a watchdog service) to monitor the system state. Req
2005 - clarus low,28,57,"Inferred from ConOps  §3.5.1.4 QChS,  CAS   H  F- 171B1 The CAS shall be able to  configure historical  environmental data to be used by quality checking processes.",F-111C4 The CAUI shall enable a quality  manager to apply manual flags to a set of observations over a time range with an open ended future time.,0.533,NO,NONE,Confidence: 1.00 | Requirement A describes the ability of the CAS to configure historical environmental data for qualit
2005 - clarus low,150,154,I-017D2 CS shall be able to extract  environmental data from comma separated value messages.,I-017D6 CS shall be able to extract  environmental data from netCDF version 3.6 messages.,0.6,NO,NONE,Confidence: 1.00 | Requirement A specifies extracting environmental data from CSV messages. Requirement B specifies ext
2005 - clarus low,194,419,Task Force     I-016 The Clarus  system shall  transfer data as efficiently as possible.,Inferred from ConOps  §2.5.7     L  X-821 Traffic management  personnel shall be able to use the Clarus  system to  obtain environmental conditions.,0.549,NO,NONE,Confidence: 1.00 | Requirement A specifies a quality attribute concerning the efficiency of data transfer within the Cl
2005 - clarus low,115,184,ConOps  §2.5.3 CS   H  F-261D1 CS shall accept environmental  data collected from service patrol vehicles.,H  F-401F1 EMS shall be able to provide  sensor equipment metadata in response to a request.,0.523,NO,NONE,Confidence: 1.00 | Requirement A describes the 'CS' accepting environmental data from service patrol vehicles. Requirem
2005 - clarus low,37,335,ID Requirement  Source Allocation  - CAS Comment Criticality F-811 The Clarus  system shall be  able to restrict environmental data publication based on source.,"H-020 The Clarus  system shall  acquire, process, and disseminate environmental data.",0.646,NO,NONE,"Confidence: 0.95 | Requirement B describes the core functionality of acquiring, processing, and disseminating environme"
2005 - clarus low,412,415,OCS     H  X-315 The Clarus  program shall  test all hardware changes in the designated test environment before deployment to production.,Contract     H  X-615 The Clarus  program shall  operate according to Government IT security requirements as outlined in  U.S.,0.572,NO,NONE,Confidence: 1.00 | Requirement A mandates a testing process for hardware changes before deployment to production. Requi
2005 - clarus low,198,423,I-023 The Clarus  system shall  respond to queries for environmental metadata from the available metadata.,Inferred from ConOps  §2.5.6     L  X-905 The Clarus  program shall  maintain information about data providers.,0.586,NO,NONE,Confidence: 1.00 | Requirement A specifies that the Clarus system shall respond to queries for environmental metadata. 
2005 - clarus low,29,272,ID Requirement  Source Allocation  - CAS Comment Criticality F-175 The Clarus  system shall be  able to use multiple algorithms for its quality checking process.,I-027 The Clarus  system shall  enable environmental data queries by quality.,0.604,NO,NONE,Confidence: 1.00 | Requirement A describes the internal mechanism for the system's quality checking process (using mult
2005 - clarus low,181,357,F-213 The Clarus  system shall allow  access to new surface transportation related observed environmental data.,D-021 The Clarus  system shall use  hardware that implements industry accepted standard interfaces.,0.615,NO,NONE,Confidence: 1.00 | Requirement A specifies the type of data the Clarus system shall access (new surface transportation 
2005 - clarus low,168,208,"ID Requirement  Source Allocation  - EMC Comment Criticality H- 120E3 The EMC shall be able to  maintain contact info for each contributor, collector, and station sensor.",ID Requirement  Source Allocation  - QEDC Comment Criticality F-521I1 The QEDC shall maintain  observations and their associated quality flags for seven days.,0.63,NO,NONE,Confidence: 1.00 | Requirement A specifies that the EMC system shall maintain contact information for specific entities
2005 - clarus low,203,256,ID Requirement  Source Allocation  - QEDC Comment Criticality F-111 The Clarus  system shall  provide environmental data quality flags.,ID Requirement  Source Allocation -  QEDS Comment Criticality  I-016J1 QEDS shall transfer data  concurrently.,0.601,NO,NONE,Confidence: 1.00 | Requirement A specifies a functional capability for the 'Clarus system': providing environmental dat
2005 - clarus low,30,326,M  F- 175B1 The CAS shall be able to  configure multiple algorithms to be used in the quality checking process.,H  F-171H1 QChS shall be able to use  historical environmental data in their quality checking algorithms.,0.555,NO,NONE,Confidence: 1.00 | Requirement A specifies the ability of CAS to configure multiple algorithms for the quality checking
2005 - clarus low,240,311,F-501 The Clarus  system shall  minimize the time for data dissemination.,F-151 The Clarus  system shall  record the methods applied when deriving quality checking information.,0.556,NO,NONE,Confidence: 1.00 | Requirement A focuses on the performance aspect of data dissemination (minimizing time). Requirement
2005 - clarus low,51,84,"ID Requirement  Source Allocation -  CAUI Comment Criticality F-100 The Clarus  system shall collect,  quality check, and disseminate environmental data.",F-200 The Clarus  system shall be able to  detect data submission errors.,0.524,YES,OVERLAP,Confidence: 0.90 | Requirement A states the system shall 'quality check' environmental data. Requirement B states the s
2005 - clarus low,65,419,"H-120 The Clarus  system shall acquire,  process, and disseminate environmental metadata.",Inferred from ConOps  §2.5.7     L  X-821 Traffic management  personnel shall be able to use the Clarus  system to  obtain environmental conditions.,0.644,YES,OVERLAP,Confidence: 0.90 | Requirement A states that the Clarus system shall 'disseminate environmental metadata.' Requirement 
2005 - clarus low,163,355,ID Requirement  Source Allocation  - EMC Comment Criticality F-213 The Clarus  system shall allow  access to new surface transportation related observed  environmental data.,D- 011A4 Clarus  hosts shall be able to  aggregate environmental data from other Clarus   hosts.,0.588,NO,NONE,Confidence: 1.00 | Requirement A specifies that the Clarus system shall allow access to new surface transportation rela
2005 - clarus low,232,322,H  F-115J1 The observation quality  flags shall be used to determine data quality condition notifications.,H  F-165H1 QChS shall be able to flag  observations based on more than one observation type.,0.58,NO,NONE,Confidence: 1.00 | Requirement A specifies that 'observation quality flags' are used to derive 'data quality condition 
2005 - clarus low,177,290,ID Requirement  Source Allocation  - EMS Comment Criticality D-062 The Clarus  system shall  disseminate environmental metadata in response to polling.,P-031 The Clarus  system shall be  able to handle three hundred simultaneous requests for environmental data.,0.64,NO,NONE,Confidence: 1.00 | Requirement A defines a core functional capability: the system shall disseminate environmental metad
2005 - clarus low,215,303,P-013 The Clarus  system shall  support 470 million current observations.,F-121 The Clarus  system shall  detect out of range values.,0.515,NO,NONE,Confidence: 1.00 | Requirement A specifies a performance or capacity constraint regarding the number of observations th
2005 - clarus low,196,383,I-017 The Clarus  system shall  employ industry standards to minimize implementation impact to users and providers.,X- 20126 The contributors shall  inform the Clarus  program  of known error(s) and modifications in its data and information.,0.577,NO,NONE,Confidence: 1.00 | Requirement A specifies that the Clarus system should adhere to industry standards for its implement
2005 - clarus low,398,426,ID Requirement  Source Allocation Comment Criticality X-207 The Clarus  program shall  provide an environment that has uninterruptible power for the Clarus  system.,OCS     H  X-921 The Clarus  program shall  maintain information about service providers.,0.538,NO,NONE,Confidence: 1.00 | Requirement A specifies a non-functional constraint regarding the power infrastructure (uninterrupti
2005 - clarus low,126,348,"H-012 The Clarus  system data definitions  shall be consistent with the ITE TM 1.03 standard, Functional Level Traffic Management Data Dictionary (TMDD).",I-016 The Clarus  system shall  transfer data as efficiently as possible.,0.55,NO,NONE,"Confidence: 1.00 | Requirement A mandates adherence to an external standard for data definitions, ensuring consistency "
2005 - clarus low,84,317,F-200 The Clarus  system shall be able to  detect data submission errors.,ID Requirement  Source Allocation -  QChS Comment Criticality  F-162 The Clarus  system shall be  able to implement quality checking spatial tests using available data.,0.529,NO,NONE,"Confidence: 1.00 | Requirement A specifies the capability to detect general data submission errors, which can encompass"
2005 - clarus low,68,365,ID Requirement  Source Allocation -  CAUI Comment Criticality I-031 The Clarus  system shall provide a  user interface for administration.,MHI     M  P-041 The Clarus  system shall be  able to support six hundred concurrent users.,0.528,NO,NONE,Confidence: 1.00 | Requirement A specifies a functional capability: the existence of a user interface for administratio
2005 - clarus low,201,426,Task Force     P-025 The Clarus  system shall  respond to a request for information within five minutes.,OCS     H  X-921 The Clarus  program shall  maintain information about service providers.,0.576,NO,NONE,Confidence: 1.00 | Requirement A specifies a performance constraint for responding to information requests (within five
2005 - clarus low,139,147,L  I-012D1 CS shall be able to process NTCIP  ESS 1204 data.,I-016D3 CS shall be able to accept  environmental data pushed from collectors.,0.518,NO,NONE,"Confidence: 0.90 | Requirement A specifies the capability to 'process NTCIP ESS 1204 data', which implies understanding"
2005 - clarus low,177,294,ID Requirement  Source Allocation  - EMS Comment Criticality D-062 The Clarus  system shall  disseminate environmental metadata in response to polling.,F-101 The Clarus  system shall  implement quality checking processes as soon as data become available.,0.502,NO,NONE,Confidence: 1.00 | Requirement A specifies how environmental metadata is *disseminated* (in response to polling). Requi
2005 - clarus low,22,320,F- 155B2 The CAS shall enable  administrators to manage quality checking rules.,H  F-163H1 QChS shall be able to  implement different quality checking rules specific to regional weather.,0.546,NO,NONE,"Confidence: 1.00 | Requirement A states that administrators can 'manage' quality checking rules, implying actions like "
2005 - clarus low,244,309,F-811 The Clarus  system shall be  able to restrict  environmental data publication based on source.,F-141 The Clarus  system shall  allow human quality checks of observations.,0.58,NO,NONE,Confidence: 1.00 | Requirement A describes the system's ability to control which environmental data is published based 
2005 - clarus low,201,414,Task Force     P-025 The Clarus  system shall  respond to a request for information within five minutes.,"ID Requirement  Source Allocation Comment Criticality X-605 The Clarus  program shall  operate according to Government IT security requirements as outlined in OMB Circular A-130, Management of Federal",0.541,NO,NONE,Confidence: 0.95 | Requirement A specifies a performance characteristic (response time). Requirement B specifies a comp
2005 - clarus low,233,315,F-115J2 QEDS shall provide quality  checking statistics to data contributors.,F-161 The Clarus  system shall be  able to implement quality checking rules for specific environmental situations.,0.506,NO,NONE,Confidence: 1.00 | Requirement A specifies that the QEDS system provides statistics about quality checking. Requirement
2005 - clarus low,181,427,F-213 The Clarus  system shall allow  access to new surface transportation related observed environmental data.,OCS     H  X-925 The Clarus  program shall  maintain information about service provider communications.,0.592,NO,NONE,Confidence: 1.00 | Requirement A specifies that the Clarus system shall allow access to new observed environmental data
2005 - clarus low,217,364,ID Requirement  Source Allocation -  QEDS Comment Criticality  D-051 The Clarus  system shall  disseminate data in  response to a scheduled  request.,H  P-011 The Clarus  system shall be  able to publish environmental data at three times the volume rate that it collects it.,0.53,NO,NONE,Confidence: 1.00 | Requirement A specifies a trigger mechanism for data dissemination (in response to a scheduled reque
2005 - clarus low,183,422,ID Requirement  Source Allocation  - EMS Comment Criticality F-401 The Clarus  system shall be  able to provide sensor equipment metadata in response to a request.,Inferred from ConOps  §2.5.8     L  X-827 Emergency management and  public safety personnel shall be able to use the Clarus   system to obtain  environmental conditions.,0.618,NO,NONE,Confidence: 1.00 | Requirement A specifies that the Clarus system shall provide 'sensor equipment metadata'. This refer
2005 - clarus low,355,400,D- 011A4 Clarus  hosts shall be able to  aggregate environmental data from other Clarus   hosts.,MHI     H  X-211 The Clarus  program shall  provide network management tools.,0.533,NO,NONE,Confidence: 1.00 | Requirement A specifies a capability for Clarus hosts to aggregate environmental data. Requirement B
2005 - clarus low,175,416,I-017 The Clarus  system shall  employ industry standards to minimize implementation impact to users and providers.,Contract     H  X-805 Weather service providers  shall be able to use Clarus   data to provide localized special weather products.,0.531,NO,NONE,"Confidence: 1.00 | Requirement A mandates that the Clarus system employ industry standards, which is a design principle"
2005 - clarus low,108,119,F-245 The Clarus  system shall accept  environmental data from railroad vehicles.,ConOps  §2.5.6 CS   H  F-275D1 CS shall accept environmental  data collected from emergency vehicles.,0.509,NO,NONE,"Confidence: 1.00 | Both requirements specify that the Clarus system (or CS, assumed to be the same or a closely related"
2005 - clarus low,329,423,F-213 The Clarus  system shall  allow access to new  surface transportation related observed environmental data.,Inferred from ConOps  §2.5.6     L  X-905 The Clarus  program shall  maintain information about data providers.,0.548,NO,NONE,Confidence: 0.95 | Requirement A specifies that the system shall allow access to new environmental data. Requirement B 
2005 - clarus low,223,248,D-081 The Clarus  system shall be  able to notify subscribers when data sets become available.,ID Requirement  Source Allocation -  QEDS Comment Criticality  H-011 The Clarus  system baseline  data types shall be defined by the NTCIP ESS 1204 standard.,0.509,NO,NONE,"Confidence: 1.00 | Requirement A describes the system's ability to notify subscribers about data set availability, whic"
2005 - clarus low,211,396,I-021 The Clarus  system shall  allow service providers to select specific desired data sets.,Task Force     X- 20166 The Clarus  program shall  provide to requesters the limitation of liability for using environmental data and metadata.,0.522,NO,NONE,Confidence: 1.00 | Requirement A describes the ability for service providers to select specific data sets. Requirement 
2005 - clarus low,18,288,F-151 The Clarus  system shall  record the methods applied when deriving quality checking information.,P-025 The Clarus  system shall  respond to a request for information within one minute.,0.555,NO,NONE,Confidence: 1.00 | Requirement A specifies that the system shall record information about quality checking methods. Req
2005 - clarus low,7,25,"When this is done, the data will be  published to the Service Providers and  other participant/consumers in Clarus .",F-163 The Clarus  system shall be  able to implement quality checking rules specific to observation locations.,0.514,NO,NONE,Confidence: 0.95 | Requirement A describes the action of publishing data to external consumers. Requirement B describes
2005 - clarus low,246,420,F-905 The Clarus  system shall log  data transactions.,Inferred from ConOps  §2.5.3     L  X-823 Transit personnel shall be  able to use the Clarus   system to obtain environmental conditions.,0.503,NO,NONE,"Confidence: 1.00 | Requirement A states that the Clarus system shall log data transactions, which is an internal system"
2005 - clarus low,20,290,F-155 The Clarus  system shall be  able to implement quality checking rules for each environmental parameter.,P-031 The Clarus  system shall be  able to handle three hundred simultaneous requests for environmental data.,0.615,NO,NONE,Confidence: 0.95 | Requirement A specifies a functional capability (implementing quality checking rules for environment
2005 - clarus low,138,262,ID Requirement  Source Allocation -  CS Comment Criticality I-012 The Clarus  system shall be able to  communicate with environmental sensor stations through its collector using the NTCIP ESS 1204.,I-021 The Clarus  system shall  allow service providers to select specific desired datasets.,0.589,NO,NONE,Confidence: 1.00 | Requirement A describes the system's capability to communicate with external environmental sensor st
2005 - clarus low,124,323,H-011 The Clarus  system baseline data  types shall be defined by the NTCIP ESS 1204 standard.,F-166 The Clarus  system shall be  able to base its quality checking process on values distributed in time.,0.578,NO,NONE,Confidence: 1.00 | Requirement A specifies a standard for the definition of data types within the Clarus system. Requir
2005 - clarus low,182,412,L  F-213F1 The Clarus  system shall allow  new EMS to be implemented that disseminate new observation types to be implemented as they become available.,OCS     H  X-315 The Clarus  program shall  test all hardware changes in the designated test environment before deployment to production.,0.572,NO,NONE,Confidence: 1.00 | Requirement A specifies that the Clarus system must be designed to accommodate new EMS implementatio
2005 - clarus low,368,435,MHI     H  Q-013 The Clarus  system shall be  able to respond to 95% of all requests for environmental data 95% of the time.,The Clarus  climatological threshold  values will be station-specific and will be  based on either regional extremes or  individual station extremes (if they are available).,0.514,NO,NONE,Confidence: 1.00 | Requirement A specifies a performance and availability characteristic for the Clarus system related 
2005 - clarus low,204,214,"OCS QChS,  CAUI, QEDC   H  F-111I1 The QEDC shall keep the  results of each quality test for each observation for the life of the observation.","MHI QEDS,  QEDC   H  I-022I1 The QEDC shall support  queries against all of its available observation datasets.",0.572,NO,NONE,Confidence: 1.00 | Requirement A specifies a data retention policy: the QEDC must keep quality test results for observa
