doc_id,req_i_idx,req_j_idx,req_i,req_j,cosine_sim,annotator1_conflict,annotator2_conflict,conflict_type,notes
2005 - clarus low,86,353,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,D- 011A2 The Clarus  system shall  allocate each collector to a specific host.,0.606,,,,
2005 - clarus low,86,354,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,D- 011A3 The Clarus  system shall  allocate each contributor to a specific host.,0.617,,,,
2005 - clarus low,86,355,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,D- 011A4 Clarus  hosts shall be able to  aggregate environmental data from other Clarus   hosts.,0.664,,,,
2005 - clarus low,86,364,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,H  P-011 The Clarus  system shall be  able to publish environmental data at three times the volume rate that it collects it.,0.701,,,,
2005 - clarus low,86,367,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,ID Requirement  Source Allocation Comment Criticality Q-011 The Clarus  system shall be  able to mitigate communication denial-of-service attacks.,0.671,,,,
2005 - clarus low,86,368,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,MHI     H  Q-013 The Clarus  system shall be  able to respond to 95% of all requests for environmental data 95% of the time.,0.703,,,,
2005 - clarus low,86,369,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,MHI     H  X-201 The Clarus  program shall  establish data sharing agreements with all participating sources of environmental data.,0.638,,,,
2005 - clarus low,86,371,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,"Task Force     X- 20111 The Clarus  program shall  determine the need for bilateral Clarus  Data  Sharing Agreements with countries, agencies, states, and regions.",0.573,,,,
2005 - clarus low,86,374,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,ID Requirement  Source Allocation Comment Criticality X- 20113 The contributors shall  identify and define the types of data and information that will be included in the Clarus Data Sharing  Agreement,0.730,,,,
2005 - clarus low,86,378,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,X- 20118 The Clarus  program shall  determine how it will provide data and information to contributors.,0.590,,,,
2005 - clarus low,86,379,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,X- 20119 The Clarus  program shall  provide data and information statistics on its operation to contributors.,0.571,,,,
2005 - clarus low,86,381,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,"ID Requirement  Source Allocation Comment Criticality X- 20121 The Clarus  program shall  inform contributors of the ""acceptance and use"" of their data and information.",0.678,,,,
2005 - clarus low,86,383,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,X- 20126 The contributors shall  inform the Clarus  program  of known error(s) and modifications in its data and information.,0.577,,,,
2005 - clarus low,86,384,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,X- 20127 The Clarus  program shall  determine its redistribution of shared data from contributors based upon Clarus  Data Sharing  Agreements.,0.535,,,,
2005 - clarus low,86,385,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,ID Requirement  Source Allocation Comment Criticality X- 20128 The Clarus  program shall  report successes and failures in data and information transmission to its contributors.,0.721,,,,
2005 - clarus low,86,386,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,X- 20129 The contributors shall report  periods of data and information outages to the  Clarus  program.,0.560,,,,
2005 - clarus low,86,387,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,X- 20131 The Clarus  program shall  maintain information about requestors and their access to data and information.,0.568,,,,
2005 - clarus low,86,389,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,X- 20139 The contributors shall have  the right to use the Clarus   system data and information for purposes delineated within the Clarus  Data  Sharing Agreement.,0.590,,,,
2005 - clarus low,86,390,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,X- 20140 The requestors shall have  the right to use the Clarus   system data and information for purposes delineated within the Clarus  User  Agreement.,0.579,,,,
2005 - clarus low,86,392,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,"X- 20142 The Clarus  program shall  inform contributors of the policies, processes and procedures employed to reject data and information provided by the contributors.",0.509,,,,
2005 - clarus low,86,393,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,"ID Requirement  Source Allocation Comment Criticality X- 20149 The contributors shall  provide the Clarus  program  with a timely notice of their intent to change, alter, replace, or eliminate any sha",0.723,,,,
2005 - clarus low,86,394,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,"X- 20152 Any reference in the Clarus   Data Sharing Agreement to statutes, regulations and rules shall be a reference to the amended, substituted, replaced or re-enacted statute, regulations and rules",0.581,,,,
2005 - clarus low,86,395,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,X- 20165 The Clarus  program shall  provide to contributors the limitation of liability for contributing environmental data and metadata.,0.641,,,,
2005 - clarus low,86,396,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,Task Force     X- 20166 The Clarus  program shall  provide to requesters the limitation of liability for using environmental data and metadata.,0.635,,,,
2005 - clarus low,86,398,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,ID Requirement  Source Allocation Comment Criticality X-207 The Clarus  program shall  provide an environment that has uninterruptible power for the Clarus  system.,0.761,,,,
2005 - clarus low,86,399,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,MHI     H  X-209 The Clarus  program shall  provide an environment that has redundant communication for the  Clarus  system.,0.550,,,,
2005 - clarus low,86,404,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,ConOps §3.3.1     H  X-232 The Clarus  program shall  define quality checking rules for environmental observations.,0.629,,,,
2005 - clarus low,86,405,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,H  X-233 The Clarus  program shall  define data retention standards.,0.578,,,,
2005 - clarus low,86,406,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,MHI     H  X-235 The Clarus  program shall  provide documentation of   Clarus  standards.,0.523,,,,
2005 - clarus low,86,407,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,"OCS   That is, the Clarus  program needs to  provide documentation of whatever standards it creates for its own development, deployment, management, and operations.",0.510,,,,
2005 - clarus low,86,408,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,ID Requirement  Source Allocation Comment Criticality X-237 The Clarus  program  standards shall accommodate contributions of new sensor technologies to the Clarus  system.,0.800,,,,
2005 - clarus low,86,409,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,Inferred from ConOps §1     M  X-239 The Clarus  program  standards shall support multiple methods of data  delivery to users.,0.520,,,,
2005 - clarus low,86,410,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,Inferred from ConOps  §4.3     M  X-305 The Clarus  program shall  maintain a comprehensive Clarus  system test  environment.,0.573,,,,
2005 - clarus low,86,413,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,OCS     H  X-601 The Clarus  program shall  operate the Clarus  system  according to its published IT  Security Plan.,0.548,,,,
2005 - clarus low,86,414,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,"ID Requirement  Source Allocation Comment Criticality X-605 The Clarus  program shall  operate according to Government IT security requirements as outlined in OMB Circular A-130, Management of Federal",0.729,,,,
2005 - clarus low,86,417,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,ID Requirement  Source Allocation Comment Criticality X-811 Public agency maintenance  and construction personnel shall be able to use the Clarus  system to obtain  environmental conditions.,0.801,,,,
2005 - clarus low,86,418,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,ConOps §2.5.2     L  X-815 Rail system personnel shall  be able to use the Clarus   system to obtain  environmental conditions.,0.600,,,,
2005 - clarus low,86,419,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,Inferred from ConOps  §2.5.7     L  X-821 Traffic management  personnel shall be able to use the Clarus  system to  obtain environmental conditions.,0.637,,,,
2005 - clarus low,86,420,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,Inferred from ConOps  §2.5.3     L  X-823 Transit personnel shall be  able to use the Clarus   system to obtain environmental conditions.,0.622,,,,
2005 - clarus low,86,421,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,Inferred from ConOps  §2.5.5     L  X-825 The freight community shall  be able to use the Clarus   system to obtain environmental conditions.,0.573,,,,
2005 - clarus low,86,422,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,Inferred from ConOps  §2.5.8     L  X-827 Emergency management and  public safety personnel shall be able to use the Clarus   system to obtain  environmental conditions.,0.628,,,,
2005 - clarus low,86,423,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,Inferred from ConOps  §2.5.6     L  X-905 The Clarus  program shall  maintain information about data providers.,0.586,,,,
2005 - clarus low,86,424,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,ID Requirement  Source Allocation Comment Criticality X-910 The Clarus  program shall  maintain metadata about each data provider's network.,0.715,,,,
2005 - clarus low,86,425,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,OCS     H  X-915 The Clarus  program shall  maintain information about data provider redistribution restrictions.,0.560,,,,
2005 - clarus low,86,426,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,OCS     H  X-921 The Clarus  program shall  maintain information about service providers.,0.509,,,,
2005 - clarus low,86,428,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,OCS     M  X-931 The Clarus  program shall  maintain information about service provider access to data.,0.577,,,,
2005 - clarus low,86,429,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,OCS     H  X-935 The Clarus  program shall  allow potential weather element data providers to request permission to submit weather information.,0.554,,,,
2005 - clarus low,86,430,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,MHI     H  X-101 The Clarus  system shall  accept data only from sources which data sharing agreements have been established.,0.558,,,,
2005 - clarus low,86,435,ID Requirement  Source Allocation -  CS Comment Criticality F-201 The Clarus  system shall be able to  access in-situ environmental observations from data collectors.,The Clarus  climatological threshold  values will be station-specific and will be  based on either regional extremes or  individual station extremes (if they are available).,0.503,,,,
2005 - clarus low,87,88,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,F-205 The Clarus  system shall be able to  access remotely sensed environmental observations from data collectors.,0.634,,,,
2005 - clarus low,87,89,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,OCS CS   M  F-205D1 CS shall be able to retrieve  remotely sensed environmental observations from data collectors.,0.738,,,,
2005 - clarus low,87,91,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,OCS CS   M  F-211D1 CS shall be able to retrieve  roadway weather measurements derived from VII data.,0.560,,,,
2005 - clarus low,87,93,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,L  F-213D1 CS shall be able to be  implemented to collect new observation types as they become available.,0.592,,,,
2005 - clarus low,87,95,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,H  F-214D1 CS shall acc ept surface condition  data derived from surface images.,0.530,,,,
2005 - clarus low,87,96,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,H  F-214D2 CS shall accept atmospheric  condition data derived from atmospheric images.,0.676,,,,
2005 - clarus low,87,97,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,H  F-221 The Clarus  system shall be able to  retrieve environmental data directly from environmental sensor station collectors.,0.659,,,,
2005 - clarus low,87,98,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,"Task Force  review CS Changed from ""The Clarus  system shall  be able to retrieve environmental data directly from environmental sensor stations."" L  F-221D1 CS shall be able to retrieve  environmenta",0.606,,,,
2005 - clarus low,87,100,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,OCS     H  F-222D1 CS shall be able to dynamically  adjust its retrieval schedules when environmental data is expected to be ready but is temporarily delayed.,0.603,,,,
2005 - clarus low,87,102,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,"ConOps  §3.4.3 CS, QChS   H  F-223D1 CS shall process environmental  data as they are received.",0.528,,,,
2005 - clarus low,87,104,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,H  F-231D1 CS shall be able to collect  pavement-related observations.,0.626,,,,
2005 - clarus low,87,106,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,ConOps  §2.5.7 CS   H  F-241D1 CS shall be able to collect  environmental data from railway systems from railway collectors.,0.557,,,,
2005 - clarus low,87,107,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,F-241D2 CS shall be able to collect  environmental data from in-situ ESS along tracks from railway collectors.,0.641,,,,
2005 - clarus low,87,111,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,Inferred from  ConOps §2.5.x CS   H  F-251D1 CS shall accept environmental  data collected from (roadway) vehicles.,0.540,,,,
2005 - clarus low,87,113,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,ConOps  §2.5.2 CS   H  F-255D1 CS shall accept environmental  data collected from maintenance and construction vehicles.,0.587,,,,
2005 - clarus low,87,115,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,ConOps  §2.5.3 CS   H  F-261D1 CS shall accept environmental  data collected from service patrol vehicles.,0.531,,,,
2005 - clarus low,87,117,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,H  F-271D1 CS shall accept environmental  data collected from transit vehicles.,0.607,,,,
2005 - clarus low,87,119,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,ConOps  §2.5.6 CS   H  F-275D1 CS shall accept environmental  data collected from emergency vehicles.,0.547,,,,
2005 - clarus low,87,127,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,"Task Force  review CS, QEDS   H  H- 012D1 CS shall accept environmental  data described by definitions defined by the TMDD.",0.629,,,,
2005 - clarus low,87,128,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,H- 012D2 CS shall accept environmental  data described by definitions defined by CMML version 2.,0.588,,,,
2005 - clarus low,87,129,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,"H-020 The Clarus  system shall acquire,  process, and disseminate environmental data.",0.556,,,,
2005 - clarus low,87,131,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,"H  H- 151D1 CS shall accept only observations  that include location, timestamp, and source metadata.",0.579,,,,
2005 - clarus low,87,134,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,"H-301 The Clarus  system shall be able to  acquire, process, and disseminate  environmental data from across  North America.",0.501,,,,
2005 - clarus low,87,146,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,I-016D2 CS shall be able to request  collector environmental data on demand.,0.694,,,,
2005 - clarus low,87,147,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,I-016D3 CS shall be able to accept  environmental data pushed from collectors.,0.690,,,,
2005 - clarus low,87,162,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,The EMC will store environmental metadata  about the contributors an d collectors from the Configuratio n & Administration Services and se nd environmental metadata to the  Environmental Metadata Serv,0.518,,,,
2005 - clarus low,87,165,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,"H-120 The Clarus  system shall  acquire, process, and disseminate environmental metadata.",0.554,,,,
2005 - clarus low,87,166,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,H- 120E1 The EMC shall be able to  process environmental metadata.,0.611,,,,
2005 - clarus low,87,184,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,H  F-401F1 EMS shall be able to provide  sensor equipment metadata in response to a request.,0.538,,,,
2005 - clarus low,87,189,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,"H-120 The Clarus  system shall  acquire, process, and disseminate environmental metadata.",0.554,,,,
2005 - clarus low,87,198,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,I-023 The Clarus  system shall  respond to queries for environmental metadata from the available metadata.,0.540,,,,
2005 - clarus low,87,213,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,I-022 The Clarus  system shall  respond to queries for environmental data from the  available data.,0.567,,,,
2005 - clarus low,87,218,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,"OCS QEDS, SS   H  D-051J1 QEDS shall disseminate  data in response to a scheduled environmental data request.",0.531,,,,
2005 - clarus low,87,220,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,OCS QEDS    H  D-061J1 QEDS shall disseminate  data in response to an immediate environmental data request.,0.582,,,,
2005 - clarus low,87,228,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,"F-100 The Clarus  system shall  collect, quality check, and disseminate environmental data.",0.517,,,,
2005 - clarus low,87,229,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,H  F-100J1 QEDS shall disseminate  environmental data.,0.616,,,,
2005 - clarus low,87,230,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,F-100J2 QEDS shall be able to  disseminate environmental data in English units.,0.518,,,,
2005 - clarus low,87,241,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,"MHI QEDS,  EMS   H  F-501J1 QEDS shall respond to  environmental data queries within one minute.",0.574,,,,
2005 - clarus low,87,244,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,F-811 The Clarus  system shall be  able to restrict  environmental data publication based on source.,0.506,,,,
2005 - clarus low,87,249,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,H  H-011J1 QEDS shall disseminate  environmental data types defined by NTCIP 1204.,0.628,,,,
2005 - clarus low,87,252,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,"H-020 The Clarus  system shall  acquire, process, and disseminate environmental  data.",0.556,,,,
2005 - clarus low,87,253,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,"H  H-301 The Clarus  system shall be  able to acquire, process, and disseminate environmental data from across North America.",0.525,,,,
2005 - clarus low,87,259,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,I-017J2 QEDS shall be able to  disseminate environmental data in HDF version 5 format.,0.520,,,,
2005 - clarus low,87,264,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,I-022 The Clarus  system shall  respond to queries for environmental data from the available data.,0.567,,,,
2005 - clarus low,87,265,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,"MHI QEDS,  QEDC   H  I-022J1 QEDS shall enable users to  request environmental data from among the available output formats.",0.513,,,,
2005 - clarus low,87,269,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,I-026 The Clarus  system shall  enable environmental data queries by location reference.,0.537,,,,
2005 - clarus low,87,272,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,I-027 The Clarus  system shall  enable environmental data queries by quality.,0.526,,,,
2005 - clarus low,87,274,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,I-028 The Clarus  system shall  enable environmental data queries by source.,0.556,,,,
2005 - clarus low,87,289,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,H  P-025J1 QEDS shall respond to an  environmental data request within one minute.,0.570,,,,
2005 - clarus low,87,293,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,H  F-100H1 The QChS shall quality  check environmental data.,0.602,,,,
2005 - clarus low,87,298,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,F-111 The Clarus  system shall  provide environmental data quality flags.,0.542,,,,
2005 - clarus low,87,305,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,F-121H2 QChS algorithms shall use  climate records for range checking bounds.,0.538,,,,
2005 - clarus low,87,316,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,H  F-161H1 QChS shall be able to  implement quality checking rules for specific environmental situations.,0.520,,,,
2005 - clarus low,87,326,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,H  F-171H1 QChS shall be able to use  historical environmental data in their quality checking algorithms.,0.589,,,,
2005 - clarus low,87,335,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,"H-020 The Clarus  system shall  acquire, process, and disseminate environmental data.",0.556,,,,
2005 - clarus low,87,336,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,"H  H-301 The Clarus  system shall be  able to acquire, process, and disseminate environmental data from  across North America.",0.525,,,,
2005 - clarus low,87,355,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,D- 011A4 Clarus  hosts shall be able to  aggregate environmental data from other Clarus   hosts.,0.514,,,,
2005 - clarus low,87,364,H  F-201D1 CS shall be able to collect in-situ  environmental observations from data collectors.,H  P-011 The Clarus  system shall be  able to publish environmental data at three times the volume rate that it collects it.,0.589,,,,
2005 - clarus low,88,89,F-205 The Clarus  system shall be able to  access remotely sensed environmental observations from data collectors.,OCS CS   M  F-205D1 CS shall be able to retrieve  remotely sensed environmental observations from data collectors.,0.675,,,,
2005 - clarus low,88,90,F-205 The Clarus  system shall be able to  access remotely sensed environmental observations from data collectors.,F-211 The Clarus  system shall be able to  receive roadway weather measurements derived from VII data.,0.751,,,,
2005 - clarus low,88,92,F-205 The Clarus  system shall be able to  access remotely sensed environmental observations from data collectors.,F-213 The Clarus  system shall allow  access to new surface transportation-related observed environmental data.,0.825,,,,
2005 - clarus low,88,94,F-205 The Clarus  system shall be able to  access remotely sensed environmental observations from data collectors.,ID Requirement  Source Allocation -  CS Comment Criticality F-214 The Clarus  system shall accept  environmental data derived from images.,0.645,,,,
2005 - clarus low,88,97,F-205 The Clarus  system shall be able to  access remotely sensed environmental observations from data collectors.,H  F-221 The Clarus  system shall be able to  retrieve environmental data directly from environmental sensor station collectors.,0.845,,,,
2005 - clarus low,88,98,F-205 The Clarus  system shall be able to  access remotely sensed environmental observations from data collectors.,"Task Force  review CS Changed from ""The Clarus  system shall  be able to retrieve environmental data directly from environmental sensor stations."" L  F-221D1 CS shall be able to retrieve  environmenta",0.798,,,,
2005 - clarus low,88,99,F-205 The Clarus  system shall be able to  access remotely sensed environmental observations from data collectors.,F-222 The Clarus system shall minimize  the time for data acquisition.,0.699,,,,
2005 - clarus low,88,101,F-205 The Clarus  system shall be able to  access remotely sensed environmental observations from data collectors.,F-223 The Clarus  system shall process  data as they are received.,0.677,,,,
2005 - clarus low,88,103,F-205 The Clarus  system shall be able to  access remotely sensed environmental observations from data collectors.,ID Requirement  Source Allocation -  CS Comment Criticality F-231 The Clarus  system shall collect  pavement-related observations.,0.510,,,,
2005 - clarus low,88,105,F-205 The Clarus  system shall be able to  access remotely sensed environmental observations from data collectors.,F-241 The Clarus  system shall accept  environmental data from railway systems or in-situ ESS along tracks.,0.724,,,,
2005 - clarus low,88,107,F-205 The Clarus  system shall be able to  access remotely sensed environmental observations from data collectors.,F-241D2 CS shall be able to collect  environmental data from in-situ ESS along tracks from railway collectors.,0.546,,,,
2005 - clarus low,88,108,F-205 The Clarus  system shall be able to  access remotely sensed environmental observations from data collectors.,F-245 The Clarus  system shall accept  environmental data from railroad vehicles.,0.717,,,,
2005 - clarus low,88,110,F-205 The Clarus  system shall be able to  access remotely sensed environmental observations from data collectors.,F-251 The Clarus  system shall accept  environmental data from (roadway) vehicles.,0.780,,,,
2005 - clarus low,88,112,F-205 The Clarus  system shall be able to  access remotely sensed environmental observations from data collectors.,ID Requirement  Source Allocation -  CS Comment Criticality F-255 The Clarus  system shall accept  environmental data from maintenance and construction vehicles.,0.627,,,,
2005 - clarus low,88,114,F-205 The Clarus  system shall be able to  access remotely sensed environmental observations from data collectors.,F-261 The Clarus  system shall accept  environmental data from service patrol vehicles.,0.780,,,,
2005 - clarus low,88,116,F-205 The Clarus  system shall be able to  access remotely sensed environmental observations from data collectors.,F-271 The Clarus  system shall accept  environmental data from transit vehicles.,0.753,,,,
2005 - clarus low,88,117,F-205 The Clarus  system shall be able to  access remotely sensed environmental observations from data collectors.,H  F-271D1 CS shall accept environmental  data collected from transit vehicles.,0.510,,,,
2005 - clarus low,88,118,F-205 The Clarus  system shall be able to  access remotely sensed environmental observations from data collectors.,F-275 The Clarus  system shall accept  environmental data from emergency vehicles.,0.782,,,,
2005 - clarus low,88,120,F-205 The Clarus  system shall be able to  access remotely sensed environmental observations from data collectors.,F-281 The Clarus  system shall be able to  receive weather data from weather service providers.,0.777,,,,
2005 - clarus low,88,122,F-205 The Clarus  system shall be able to  access remotely sensed environmental observations from data collectors.,F-905 The Clarus  system shall log data  transactions.,0.582,,,,
2005 - clarus low,88,124,F-205 The Clarus  system shall be able to  access remotely sensed environmental observations from data collectors.,H-011 The Clarus  system baseline data  types shall be defined by the NTCIP ESS 1204 standard.,0.557,,,,
2005 - clarus low,88,126,F-205 The Clarus  system shall be able to  access remotely sensed environmental observations from data collectors.,"H-012 The Clarus  system data definitions  shall be consistent with the ITE TM 1.03 standard, Functional Level Traffic Management Data Dictionary (TMDD).",0.509,,,,
2005 - clarus low,88,129,F-205 The Clarus  system shall be able to  access remotely sensed environmental observations from data collectors.,"H-020 The Clarus  system shall acquire,  process, and disseminate environmental data.",0.742,,,,
2005 - clarus low,88,130,F-205 The Clarus  system shall be able to  access remotely sensed environmental observations from data collectors.,"ID Requirement  Source Allocation -  CS Comment Criticality H-151 The Clarus  system shall accept  only observations that include location, timestamp, and source metadata.",0.556,,,,
