Requirement,Name of Doc,Req/Not Req,Req/Not Req
Detail ciphering transport network protocol support for HTTP protocol case. ,RFI MBSW IT Technical requirements V1.160,1,yes
Supplier should detail if solution vendor should support HTTPS/SSL with server and optional client X509 client certificate.,RFI MBSW IT Technical requirements V1.161,1,yes
Solution vendor should supply sizing requirements for the solutions based on business sizing data supplied by ACME. ,RFI MBSW IT Technical requirements V1.162,1,yes
"If further business data are required, solution vendor should request. ",RFI MBSW IT Technical requirements V1.163,1,yes
"ACME business sizing data includes number of users, number of elementary information unit per business user documentation, actual size of information unit and documentation, location of user like Intranet France, decentralized engineering centers (Rumania, Korea etc...) ",RFI MBSW IT Technical requirements V1.164,0,no
Supplier should explain sizing rules based on business sizing data supplied by ACME (with further details if required by vendor). ,RFI MBSW IT Technical requirements V1.165,1,yes
"Supplier should detail architecture physical and logical diagram explaining for each machine type, installed components, network protocol flow (protocol, port number) between machines. ",RFI MBSW IT Technical requirements V1.166,1,yes
"In case of alternative solutions, software vendor should detail sizing for every solution. ",RFI MBSW IT Technical requirements V1.167,1,yes
"For instance, if Oracle or MySQL are candidate database server. ",RFI MBSW IT Technical requirements V1.168,0,no
Sizing for each database serve should be supplied. ,RFI MBSW IT Technical requirements V1.169,1,yes
Architecture diagrams must detail dataflow with connected ACME IT systems including Technology used,RFI MBSW IT Technical requirements V1.170,1,yes
Please detail if solution is able to send or receive MQ Series Message. ,RFI MBSW IT Technical requirements V1.171,1,yes
ACME supported version is 7.0. ,RFI MBSW IT Technical requirements V1.172,1,yes
Please detail if solution can call Web Service being described by a WSDL file delivered by ACME. ,RFI MBSW IT Technical requirements V1.173,1,yes
Please detail if solution can call Web Service using Client Certificate Authentication or basic authentication used separately or mixed. ,RFI MBSW IT Technical requirements V1.174,1,yes
Client certificate may be supplied by ACME owned public Key infrastructure. ,RFI MBSW IT Technical requirements V1.175,1,yes
Please detail if solution can use WS-Security protocol to cipher and sign Web service message. ,RFI MBSW IT Technical requirements V1.176,1,yes
"If solution is providing web service access, available Web services must be described. ",RFI MBSW IT Technical requirements V1.177,1,yes
"If solution is proving REST access, available REST services must be described. ",RFI MBSW IT Technical requirements V1.178,1,yes
Solution vendor must indicate if supplied Web service have WSDL description. ,RFI MBSW IT Technical requirements V1.179,1,yes
"Solution vendor must indicate if supplier Web services can be authenticated, signed, ciphered. ",RFI MBSW IT Technical requirements V1.180,1,yes
"In case of authenticated web services, solution vendor must indicate available authentication mechanism (basic authentication, server certificate, server and client certificate etc...). ",RFI MBSW IT Technical requirements V1.181,1,yes
"In case of ciphered or signed web service messages, solution vendor must indicate available ciphering mechanism, notably WS-Security support. ",RFI MBSW IT Technical requirements V1.182,1,yes
File transfer with ACME Intranet applications. ,RFI MBSW IT Technical requirements V1.183,0,no
Please detail if solution vendor support CFT axway solution. ,RFI MBSW IT Technical requirements V1.184,1,yes
See http://www.axway.fr/produits- solutions/mft/a2a-mft/transfer-cft for further detail. ,RFI MBSW IT Technical requirements V1.185,1,yes
Batch processing in environment deployed inside ACME Intranet. ,RFI MBSW IT Technical requirements V1.186,0,no
CFT file transfer server is located in Intranet server and file exchanged with ACME intranet application can be accessed though nas type protocol (NFS or CIFS). ,RFI MBSW IT Technical requirements V1.187,1,yes
"If batch processing must be executed from applicative J2EE server, solution vendor must identify a solution to have access",RFI MBSW IT Technical requirements V1.188,1,yes
Failover scenarios: solution vendor should summarize in up to 5 sentences proposed restore procedure for following crash scenarios for solution vendor,RFI MBSW IT Technical requirements V1.189,1,yes
"Server crash: Database server crash, Applicative server crash,Full Text indexer crash, Web server crash 
Component server crash, database instance crash, applicative server process interruption",RFI MBSW IT Technical requirements V1.190,1,yes
"Filer crash: database content, full text index file, Stream replication. ",RFI MBSW IT Technical requirements V1.191,1,yes
"Response time to access to stream data (video, 3D content) must be granted worldwide. ",RFI MBSW IT Technical requirements V1.192,1,yes
"If, to achieve this, solution may include stream replication mechanisms on several sites (ACME authoring sites like Roumania or India), the solution must be detailed. ",RFI MBSW IT Technical requirements V1.193,1,yes
"Solution element to specify: - when replication happened (on demand or pushed) - can it be filtered according to site location, content criteria or accessing user profile - in case of content criteria, nature of content criteria: attributes, location inside solution database organization, ACME applicability usage (ability to replicate only X95 documentation of diesel engine for instance). ",RFI MBSW IT Technical requirements V1.194,1,yes
Data pushed or pulled asynchronously from ACME IT systems will be exchanged by CFT transfer or MQ messages. ,RFI MBSW IT Technical requirements V1.195,1,yes
Solution vendor must grant compatibility with these technologies (CFT and MQ) and detail technical solution for both technology integration. ,RFI MBSW IT Technical requirements V1.196,1,yes
No impact on real access response time of batch processing. ,RFI MBSW IT Technical requirements V1.197,1,yes
Solution vendor must grant no response time downgrade caused by batch processing either internal (on the fly full text indexing) or external (exchange with other ACME IT systems).,RFI MBSW IT Technical requirements V1.198,1,yes
"Solution vendor must indicate recommended environments used in typical deployment (testing, development, production etc). ",RFI MBSW IT Technical requirements V1.199,1,yes
"For each environment, solution vendor must indicate recommended architecture compared to production environment, simplification brought by dedicated usage of environment. ",RFI MBSW IT Technical requirements V1.200,1,yes
Environment management must enable reduce or ideally hidden lengthy migration process (for instance migration processed in background in database separated from production activity with last minute database change) ,RFI MBSW IT Technical requirements V1.201,1,yes
Solution vendor must indicate whether tools are available to import / export content or configuration between environments (for instance move configuration from testing to production environment). ,RFI MBSW IT Technical requirements V1.202,1,yes
"For each tool, solution vendor must specify, which data are imported or exported, level of filtering (all data, filtered data), format (XML based, file based, multi or single file), associated procedure. ",RFI MBSW IT Technical requirements V1.203,1,yes
Solution vendor must detail whether integrity and repair utility tools are available and offered functionalities. ,RFI MBSW IT Technical requirements V1.204,1,yes
Please detail if solution vendor provides command line to start and stop individual components. ,RFI MBSW IT Technical requirements V1.205,1,yes
"Please detail: data type to store (database, full text index, replicated stream if any, possible other data to store),  the order of backup granting a coherent backup, possible additional backup steps to grant integrity of backup.",RFI MBSW IT Technical requirements V1.206,1,yes
Please detail is backup procedure can be performed while vendor solution is stopped.,RFI MBSW IT Technical requirements V1.207,1,yes
"Solution vendor must specify data to restore (database, full text index, replicated stream if any, possible other data to store), the order of restore granting a coherent recovery, possible additional backup steps to grant integrity of restore. ",RFI MBSW IT Technical requirements V1.208,1,yes
Please detail if restore procedure can be performed while vendor solution is stopped. ,RFI MBSW IT Technical requirements V1.209,1,yes
"In case of any event causing major threats for availability of solution, please detail if an event is emitted. ",RFI MBSW IT Technical requirements V1.210,1,yes
"Please detail if at least, a log is written in easily identifiable location. ",RFI MBSW IT Technical requirements V1.211,1,yes
"In case of use of windows server technology, please detail if Windows event used. ",RFI MBSW IT Technical requirements V1.212,1,yes
Please detail if Log file are stored in easily identifiable location and use parsable and possibly configurable format. ,RFI MBSW IT Technical requirements V1.213,1,yes
Please detail if log management is uniformed between different components. ,RFI MBSW IT Technical requirements V1.214,1,yes
"In case of use of windows server technology, are log written to windows event system? ",RFI MBSW IT Technical requirements V1.215,1,yes
"At best, solution provider use SNMP protocol to send alert and give access to indicators about activity of solution components. ",RFI MBSW IT Technical requirements V1.216,1,yes
"At minimum, every major threats for solution availability is generating log message with easily parse able format. ",RFI MBSW IT Technical requirements V1.217,1,yes
"The log format must contain: level of critical of message, identifier of message, text of message ",RFI MBSW IT Technical requirements V1.218,1,yes
" Please detail ITO level integration (SNMP, log with associated format, any other mechanism)",RFI MBSW IT Technical requirements V1.219,1,yes
Does the software have a management console and / or an administration console. ,RFI MBSW IT Technical requirements V1.220,1,yes
Supervision console integration with market tool. ,RFI MBSW IT Technical requirements V1.221,0,no
"Can the software package interface with market administration or supervision tools (HP / ITO, Nagios). ",RFI MBSW IT Technical requirements V1.222,1,yes
Ability to check if software components are available (“applicative ping”). ,RFI MBSW IT Technical requirements V1.223,1,yes
"Please detail if vendor solution supplies monitoring activity indicators (number of active sessions, memory usage, etc...) ",RFI MBSW IT Technical requirements V1.224,1,yes
Is software using license server for client component License server component. ,RFI MBSW IT Technical requirements V1.225,1,yes
Is software using license server for server component License server technology. ,RFI MBSW IT Technical requirements V1.226,1,yes
Is software using standard technology (ex FlexLM) or proprietary technology? ,RFI MBSW IT Technical requirements V1.227,1,yes
Is batch processing managed with a internal scheduler or can it use an external scheduler like Autosys scheduler. ,RFI MBSW IT Technical requirements V1.228,1,yes
Solution Windows background processes. ,RFI MBSW IT Technical requirements V1.229,0,no
Are server component deployed on Windows server technology using window services? ,RFI MBSW IT Technical requirements V1.230,1,yes
System password protection. ,RFI MBSW IT Technical requirements V1.231,0,no
Are technical user identifier and password cyphered in exploitability tools?,RFI MBSW IT Technical requirements V1.232,1,yes
What is possible programming language(s) for customization Is single language used or language is depending on customized component. ,RFI MBSW IT Technical requirements V1.233,1,yes
Please detail development tool usable by the client company (Identify parts running on a server and those running on a client) ,RFI MBSW IT Technical requirements V1.234,1,yes
Deployment of customization on server component. ,RFI MBSW IT Technical requirements V1.235,0,no
Describe mechanism to deploy new configuration / extension on server side. ,RFI MBSW IT Technical requirements V1.236,1,yes
Is customization must be manually deployed on each client desktop or is there some automatization in order to automatically deploy new configuration on client side? ,RFI MBSW IT Technical requirements V1.237,1,yes
Is it possible for user to customize GUI and menus of the software package? ,RFI MBSW IT Technical requirements V1.238,1,yes
Is it possible for administrator to customize GUI and menus of the software package? ,RFI MBSW IT Technical requirements V1.239,1,yes
Is it possible for developer to customize GUI and menus of the software package by configuration not programming.,RFI MBSW IT Technical requirements V1.240,1,yes
Can solution vendor commit to an end-to-end response time or availability? ,RFI MBSW IT Technical requirements V1.241,1,yes
Is it global SLA or can it be refined at business workflow level. ,RFI MBSW IT Technical requirements V1.242,1,yes
Does software vendor offer tools to monitor Service Level agreement like web robot accessing solution vendor in different worldwide location with dedicated business processes? ,RFI MBSW IT Technical requirements V1.243,1,yes
Does software vendor offer indicators and associated reports allowing ACME to check quality of services. ,RFI MBSW IT Technical requirements V1.244,1,yes
"If yes, solution vendor must detail provided indicators and available reporting tools.",RFI MBSW IT Technical requirements V1.245,1,yes
Can solution vendor describe backup policy compatible with down time requirements. ,RFI MBSW IT Technical requirements V1.246,1,yes
"1 h down time per business day (Monday to Friday), 2 hours downtime during week-end day (Saturday and Sunday). ",RFI MBSW IT Technical requirements V1.247,1,yes
"Backup policy description must include: Backup frequency, Backup type, full or delta, Backup retention. ",RFI MBSW IT Technical requirements V1.248,1,yes
Is ASP architecture dedicated to ACME or mutualized with other customers. ,RFI MBSW IT Technical requirements V1.249,1,yes
"In case of mutualization, how ASP provider grant no security hole between ACME and other customers. ",RFI MBSW IT Technical requirements V1.250,1,yes
Environment management critical data management Is testing or development environment containing critical data (data which loss or thief is causing major financial drawback to ACME)? ,RFI MBSW IT Technical requirements V1.251,1,yes
"If yes, at best, critical content must be cyphered in testing like in production environment. ",RFI MBSW IT Technical requirements V1.252,1,yes
"At least, it must be tampered. ",RFI MBSW IT Technical requirements V1.253,1,yes
"Is testing or development environment contains critical data, at best it must be cyphered when moved from one environment to another. ",RFI MBSW IT Technical requirements V1.254,1,yes
"At least, it must be tampered when moved. ",RFI MBSW IT Technical requirements V1.255,1,yes
"In case of failure, describe procedure to alert ACME. ",RFI MBSW IT Technical requirements V1.256,1,yes
Procedure must be detail according to level of critical of failure. ,RFI MBSW IT Technical requirements V1.257,1,yes
"ASP provider must detail escalation process (actors, tasks) and interaction with ACME during escalation process. ",RFI MBSW IT Technical requirements V1.258,1,yes
"In case of unexpected workload, what is delay to obtain additional servers Reversibility. ",RFI MBSW IT Technical requirements V1.259,1,yes
In case ACME decide to stop ASP mode. Describe procedure in order ACME to get back data held by ACME. ,RFI MBSW IT Technical requirements V1.260,1,yes
Software vendor must provide architecture diagrams to show how to provide high availability and scalability Location of support. ,RFI MBSW IT Technical requirements V1.261,1,yes
ASP provider must detail location of people involved in maintenance and support task at ASP provider site. ,RFI MBSW IT Technical requirements V1.262,1,yes
Please detail network latency between ASP site and ACME site. ,RFI MBSW IT Technical requirements V1.263,1,yes
Network latency must be minimal (< 30 ms per network packet). ,RFI MBSW IT Technical requirements V1.264,1,yes
Please detail bandwidth requirements between ASP site and ACME site. ,RFI MBSW IT Technical requirements V1.265,1,yes
Bandwidth must be large enough in order to handle file transfers and real time access at peak work load without any bottleneck. ,RFI MBSW IT Technical requirements V1.266,1,yes
"The purpose of the present Request For Information (RFI) is to obtain preliminary proposals from all those suppliers who may be interested in providing a Communications and Information Systems architectures development tool to support the Spanish Ministry of Defense, in accordance with the criteria provided in this document.",RFI CIS Architectures Development Tool MDEF,0,no
It should be noted that the purpose of this RFI is not to obtain final proposals. ,RFI CIS Architectures Development Tool MDEF,0,no
These final proposals will be the subject of a subsequent bidding process. ,RFI CIS Architectures Development Tool MDEF,0,no
This RFI is not part of a contract nor does it represent a commitment to be contracted by the Spanish Ministry of Defense.,RFI CIS Architectures Development Tool MDEF,0,no
"The technical information collected in this document is provided on guidance, and interested parties may include variations in such proposals information.",RFI CIS Architectures Development Tool MDEF,0,no
All information or documentation sent to the Spanish Ministry of Defense given this consultation will be confidential and will not be communicated or publicated.,RFI CIS Architectures Development Tool MDEF,0,no
"The Order DEF/2639/2015, of December 3rd, which establishes the Spanish Ministry of Defense Communications and Information Systems Policy (CIS Policy), includes in its article 7 the general guidelines by which the planning and the CIS resourcing, its control, organization, operation and maintenance, for the establishment and provision of the associated services, should be governed. ",RFI CIS Architectures Development Tool MDEF,0,no
"Among such guidelines it is included the technical standarization of these resources, through a hierachical model of architectures similar to that used by NATO, as an instrument of coherence and technical integrity.",RFI CIS Architectures Development Tool MDEF,0,no
"In the article 7.3.a), the CIS Architectures to be developed are established and organized in the following hierachical way: 1st. ",RFI CIS Architectures Development Tool MDEF,0,no
Spanish Ministry of Defense Communications and Informations Systems Overarching Architecture (AG CIS/TIC); ,RFI CIS Architectures Development Tool MDEF,0,no
"These architectures will act as a guide and support for the structured and rigorous development of the CIS Capabilities of the Department ensuring the necessary coherence and technical integrity, the feasibility and necessary budget allocation, and the agility in the deadlines and compliance with the operational requirements through the full systems life cycle.",RFI CIS Architectures Development Tool MDEF,0,no
"The Instruction 58/2016, of October 28th, of the Secretary of State for Defense, by which the Spanish Ministry of Defense Communications and Information Systems Overarching Architecture (AG CIS/TIC) is aproved, establishes the principles to develop the CIS Architecture.",RFI CIS Architectures Development Tool MDEF,0,no
"This includes: Standarized models for hierachical architectures, Standarized process for architectures development, Reuse and traceability of the architectures content, Service-oriented approach, Shared architectures information.",RFI CIS Architectures Development Tool MDEF,0,no
"To that end, collaborative work systems will be used to facilitate the understanding of the relationships between capabilities, systems and CIS components in every level and between different architecture levels. ",RFI CIS Architectures Development Tool MDEF,0,no
"A general common repository will be created where the Spanish Ministry of Defense CIS Architectures will be stored once they are aproved, including the metadata which facilitates its location, record, classification, access, maintenance and provision. ",RFI CIS Architectures Development Tool MDEF,1,yes
This department level repository will facilitate the reuse and traceability of the content of all Architectures.,RFI CIS Architectures Development Tool MDEF,1,yes
"On the other hand, the aforementioned AG CIS/TIC includes, among its derived actions, the following steps for its development as follows.",RFI CIS Architectures Development Tool MDEF,0,no
"Enable the incremental and sequential development of the Reference and Target CIS Architectures of the Spanish Ministry of Defense, in accordance with what it is established in the AG CIS/TIC and with the operative priorities of the Armed Forces (FAS), guaranteeing full ingration of the CIS Capabilities of the Department in the interoperability policy framework that ensures the end-to-end service provision. ",RFI CIS Architectures Development Tool MDEF,1,yes
"Harmonize the process between the CIS Architecture development and the CIS resources and finance planning in the Defense Planning framework, ensuring the alignment of the CIS Capabilities with the Armed Forces (FAS) and the Department needs regarding the available financial resources.",RFI CIS Architectures Development Tool MDEF,1,yes
This RFI focuses on the technical and functional characteristics of the architecture development tool and its support through the full life cycle.,RFI CIS Architectures Development Tool MDEF,0,no
The request for management information is detailed in the following table. ,RFI CIS Architectures Development Tool MDEF,0,no
This information must be broken down according to the detail that is considered necessary to be able to interpret it correctly.,RFI CIS Architectures Development Tool MDEF,0,no
"SIEM-1 Information about the Company, experience, relevant projects related to this application and certifications. ",RFI CIS Architectures Development Tool MDEF,0,no
Volume of business in the sector during the last three years.,RFI CIS Architectures Development Tool MDEF,0,no
SIEM-2 Marketing model of the tool offered for use from the Spanish Ministry of Defense.,RFI CIS Architectures Development Tool MDEF,0,no
SIEM-3 Does the Company have made similar supplies to other customers? ,RFI CIS Architectures Development Tool MDEF,0,no
"Provide a description of the client, as well as the implementation works. ",RFI CIS Architectures Development Tool MDEF,0,no
"Companies that are interested in participating in this RFI process, described in this document, may answer the questions and criteria established in the previous sections.",RFI CIS Architectures Development Tool MDEF,0,no
"Each Company can respond according to the format established below: 
In any case, no Company will be excluded from future processes of hiring due to non- compliance with one or more of the requirements established in this document.",RFI CIS Architectures Development Tool MDEF,0,no
"The receipt of responses to the request in this document will have a deadline on April 6th, 2018.",RFI CIS Architectures Development Tool MDEF,0,no
"Given the information that will be processed by the companies that are selected, as progress in this process, it will be necessary to abide by the established regulatory framework in the Rules of the National Authority for the Protection of Classified Information.",RFI CIS Architectures Development Tool MDEF,0,no
